level_0,index,Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Shift,TPR,InD Shift,TNR,balanced_accuracy
68,68,CCT,Energy,val_optimal,False,False,saltpepper,0.3425,ind_test,0.8973333333333333,0.6199166666666667
69,69,CCT,Energy,val_optimal,False,False,saltpepper,0.3425,ind_val,0.8976666666666666,0.6200833333333333
70,70,CCT,Energy,val_optimal,False,False,smear,0.21125,ind_test,0.8973333333333333,0.5542916666666666
71,71,CCT,Energy,val_optimal,False,False,smear,0.21125,ind_val,0.8976666666666666,0.5544583333333333
72,72,CCT,Energy,val_optimal,True,False,OoD Test,0.499125,ind_test,0.8973333333333333,0.6982291666666667
73,73,CCT,Energy,val_optimal,True,False,OoD Test,0.499125,ind_val,0.8576666666666667,0.6783958333333333
74,74,CCT,Energy,val_optimal,True,False,OoD Val,0.5015,ind_test,0.8973333333333333,0.6994166666666666
75,75,CCT,Energy,val_optimal,True,False,OoD Val,0.5015,ind_val,0.8576666666666667,0.6795833333333333
76,76,CCT,Energy,val_optimal,True,False,brightness,0.621125,ind_test,0.8973333333333333,0.7592291666666666
77,77,CCT,Energy,val_optimal,True,False,brightness,0.621125,ind_val,0.8576666666666667,0.7393958333333334
78,78,CCT,Energy,val_optimal,True,False,contrast,0.93325,ind_test,0.8973333333333333,0.9152916666666666
79,79,CCT,Energy,val_optimal,True,False,contrast,0.93325,ind_val,0.8576666666666667,0.8954583333333334
80,80,CCT,Energy,val_optimal,True,False,hue,0.261875,ind_test,0.8973333333333333,0.5796041666666667
81,81,CCT,Energy,val_optimal,True,False,hue,0.261875,ind_val,0.8576666666666667,0.5597708333333333
82,82,CCT,Energy,val_optimal,True,False,multnoise,0.3155,ind_test,0.8973333333333333,0.6064166666666666
83,83,CCT,Energy,val_optimal,True,False,multnoise,0.3155,ind_val,0.8576666666666667,0.5865833333333333
84,84,CCT,Energy,val_optimal,True,False,noise,0.370375,ind_test,0.8973333333333333,0.6338541666666666
85,85,CCT,Energy,val_optimal,True,False,noise,0.370375,ind_val,0.8576666666666667,0.6140208333333333
86,86,CCT,Energy,val_optimal,True,False,saltpepper,0.3425,ind_test,0.8973333333333333,0.6199166666666667
87,87,CCT,Energy,val_optimal,True,False,saltpepper,0.3425,ind_val,0.8576666666666667,0.6000833333333333
88,88,CCT,Energy,val_optimal,True,False,smear,0.78875,ind_test,0.8973333333333333,0.8430416666666667
89,89,CCT,Energy,val_optimal,True,False,smear,0.78875,ind_val,0.8576666666666667,0.8232083333333333
90,90,CCT,Energy,val_optimal,True,True,OoD Test,0.502625,ind_test,0.6792222222222222,0.5909236111111111
91,91,CCT,Energy,val_optimal,True,True,OoD Test,0.502625,ind_val,0.6664444444444444,0.5845347222222221
92,92,CCT,Energy,val_optimal,True,True,OoD Val,0.52225,ind_test,0.6792222222222222,0.6007361111111111
93,93,CCT,Energy,val_optimal,True,True,OoD Val,0.52225,ind_val,0.6664444444444444,0.5943472222222221
94,94,CCT,Energy,val_optimal,True,True,brightness,0.599,ind_test,0.6792222222222222,0.6391111111111111
95,95,CCT,Energy,val_optimal,True,True,brightness,0.599,ind_val,0.6664444444444444,0.6327222222222222
96,96,CCT,Energy,val_optimal,True,True,contrast,0.72725,ind_test,0.6792222222222222,0.7032361111111111
97,97,CCT,Energy,val_optimal,True,True,contrast,0.72725,ind_val,0.6664444444444444,0.6968472222222222
98,98,CCT,Energy,val_optimal,True,True,hue,0.383625,ind_test,0.6792222222222222,0.531423611111111
99,99,CCT,Energy,val_optimal,True,True,hue,0.383625,ind_val,0.6664444444444444,0.5250347222222222
100,100,CCT,Energy,val_optimal,True,True,multnoise,0.45075,ind_test,0.6792222222222222,0.5649861111111111
101,101,CCT,Energy,val_optimal,True,True,multnoise,0.45075,ind_val,0.6664444444444444,0.5585972222222222
102,102,CCT,Energy,val_optimal,True,True,noise,0.49625,ind_test,0.6792222222222222,0.5877361111111111
103,103,CCT,Energy,val_optimal,True,True,noise,0.49625,ind_val,0.6664444444444444,0.5813472222222222
104,104,CCT,Energy,val_optimal,True,True,saltpepper,0.466625,ind_test,0.6792222222222222,0.5729236111111111
105,105,CCT,Energy,val_optimal,True,True,saltpepper,0.466625,ind_val,0.6664444444444444,0.5665347222222222
106,106,CCT,Energy,val_optimal,True,True,smear,0.653375,ind_test,0.6792222222222222,0.6662986111111111
107,107,CCT,Energy,val_optimal,True,True,smear,0.653375,ind_val,0.6664444444444444,0.6599097222222222
108,108,CCT,Entropy,ind_span,False,False,OoD Test,0.613,ind_test,0.983,0.798
109,109,CCT,Entropy,ind_span,False,False,OoD Test,0.613,ind_val,0.98,0.7965
110,110,CCT,Entropy,ind_span,False,False,OoD Val,0.66,ind_test,0.983,0.8215
111,111,CCT,Entropy,ind_span,False,False,OoD Val,0.66,ind_val,0.98,0.8200000000000001
112,112,CCT,Entropy,ind_span,False,False,brightness,0.227,ind_test,0.983,0.605
113,113,CCT,Entropy,ind_span,False,False,brightness,0.227,ind_val,0.98,0.6035
114,114,CCT,Entropy,ind_span,False,False,contrast,0.012,ind_test,0.983,0.4975
115,115,CCT,Entropy,ind_span,False,False,contrast,0.012,ind_val,0.98,0.496
116,116,CCT,Entropy,ind_span,False,False,hue,0.284,ind_test,0.983,0.6335
117,117,CCT,Entropy,ind_span,False,False,hue,0.284,ind_val,0.98,0.632
118,118,CCT,Entropy,ind_span,False,False,multnoise,0.0,ind_test,0.983,0.4915
119,119,CCT,Entropy,ind_span,False,False,multnoise,0.0,ind_val,0.98,0.49
120,120,CCT,Entropy,ind_span,False,False,noise,0.97,ind_test,0.983,0.9764999999999999
121,121,CCT,Entropy,ind_span,False,False,noise,0.97,ind_val,0.98,0.975
122,122,CCT,Entropy,ind_span,False,False,saltpepper,0.0,ind_test,0.983,0.4915
123,123,CCT,Entropy,ind_span,False,False,saltpepper,0.0,ind_val,0.98,0.49
124,124,CCT,Entropy,ind_span,False,False,smear,0.039,ind_test,0.983,0.511
125,125,CCT,Entropy,ind_span,False,False,smear,0.039,ind_val,0.98,0.5095
126,126,CCT,Entropy,ind_span,True,False,OoD Test,0.45,ind_test,0.983,0.7165
127,127,CCT,Entropy,ind_span,True,False,OoD Test,0.45,ind_val,0.936,0.6930000000000001
128,128,CCT,Entropy,ind_span,True,False,OoD Val,0.425,ind_test,0.983,0.704
129,129,CCT,Entropy,ind_span,True,False,OoD Val,0.425,ind_val,0.936,0.6805
130,130,CCT,Entropy,ind_span,True,False,brightness,0.773,ind_test,0.983,0.878
131,131,CCT,Entropy,ind_span,True,False,brightness,0.773,ind_val,0.936,0.8545
132,132,CCT,Entropy,ind_span,True,False,contrast,0.988,ind_test,0.983,0.9855
133,133,CCT,Entropy,ind_span,True,False,contrast,0.988,ind_val,0.936,0.962
134,134,CCT,Entropy,ind_span,True,False,hue,0.343,ind_test,0.983,0.663
135,135,CCT,Entropy,ind_span,True,False,hue,0.343,ind_val,0.936,0.6395000000000001
136,136,CCT,Entropy,ind_span,True,False,multnoise,0.008,ind_test,0.983,0.4955
137,137,CCT,Entropy,ind_span,True,False,multnoise,0.008,ind_val,0.936,0.47200000000000003
138,138,CCT,Entropy,ind_span,True,False,noise,0.97,ind_test,0.983,0.9764999999999999
139,139,CCT,Entropy,ind_span,True,False,noise,0.97,ind_val,0.936,0.9530000000000001
140,140,CCT,Entropy,ind_span,True,False,saltpepper,0.0,ind_test,0.983,0.4915
141,141,CCT,Entropy,ind_span,True,False,saltpepper,0.0,ind_val,0.936,0.468
142,142,CCT,Entropy,ind_span,True,False,smear,0.961,ind_test,0.983,0.972
143,143,CCT,Entropy,ind_span,True,False,smear,0.961,ind_val,0.936,0.9485
144,144,CCT,Entropy,ind_span,True,True,OoD Test,0.50075,ind_test,0.9897777777777778,0.745263888888889
145,145,CCT,Entropy,ind_span,True,True,OoD Test,0.50075,ind_val,0.933,0.716875
146,146,CCT,Entropy,ind_span,True,True,OoD Val,0.489875,ind_test,0.9897777777777778,0.7398263888888889
147,147,CCT,Entropy,ind_span,True,True,OoD Val,0.489875,ind_val,0.933,0.7114375000000001
148,148,CCT,Entropy,ind_span,True,True,brightness,0.839,ind_test,0.9897777777777778,0.9143888888888889
149,149,CCT,Entropy,ind_span,True,True,brightness,0.839,ind_val,0.933,0.886
150,150,CCT,Entropy,ind_span,True,True,contrast,0.9925,ind_test,0.9897777777777778,0.9911388888888889
151,151,CCT,Entropy,ind_span,True,True,contrast,0.9925,ind_val,0.933,0.96275
152,152,CCT,Entropy,ind_span,True,True,hue,0.365625,ind_test,0.9897777777777778,0.6777013888888889
153,153,CCT,Entropy,ind_span,True,True,hue,0.365625,ind_val,0.933,0.6493125
154,154,CCT,Entropy,ind_span,True,True,multnoise,0.008,ind_test,0.9897777777777778,0.4988888888888889
155,155,CCT,Entropy,ind_span,True,True,multnoise,0.008,ind_val,0.933,0.47050000000000003
156,156,CCT,Entropy,ind_span,True,True,noise,0.911875,ind_test,0.9897777777777778,0.9508263888888888
157,157,CCT,Entropy,ind_span,True,True,noise,0.911875,ind_val,0.933,0.9224375
158,158,CCT,Entropy,ind_span,True,True,saltpepper,0.0,ind_test,0.9897777777777778,0.4948888888888889
159,159,CCT,Entropy,ind_span,True,True,saltpepper,0.0,ind_val,0.933,0.4665
160,160,CCT,Entropy,ind_span,True,True,smear,0.974875,ind_test,0.9897777777777778,0.9823263888888889
161,161,CCT,Entropy,ind_span,True,True,smear,0.974875,ind_val,0.933,0.9539375000000001
162,162,CCT,Entropy,val_optimal,False,False,OoD Test,0.4625,ind_test,0.7583333333333333,0.6104166666666666
163,163,CCT,Entropy,val_optimal,False,False,OoD Test,0.4625,ind_val,0.7634444444444445,0.6129722222222223
164,164,CCT,Entropy,val_optimal,False,False,OoD Val,0.45675,ind_test,0.7583333333333333,0.6075416666666666
165,165,CCT,Entropy,val_optimal,False,False,OoD Val,0.45675,ind_val,0.7634444444444445,0.6100972222222223
166,166,CCT,Entropy,val_optimal,False,False,brightness,0.362,ind_test,0.7583333333333333,0.5601666666666667
167,167,CCT,Entropy,val_optimal,False,False,brightness,0.362,ind_val,0.7634444444444445,0.5627222222222222
168,168,CCT,Entropy,val_optimal,False,False,contrast,0.146875,ind_test,0.7583333333333333,0.45260416666666664
169,169,CCT,Entropy,val_optimal,False,False,contrast,0.146875,ind_val,0.7634444444444445,0.45515972222222223
170,170,CCT,Entropy,val_optimal,False,False,hue,0.32925,ind_test,0.7583333333333333,0.5437916666666667
171,171,CCT,Entropy,val_optimal,False,False,hue,0.32925,ind_val,0.7634444444444445,0.5463472222222222
172,172,CCT,Entropy,val_optimal,False,False,multnoise,0.328375,ind_test,0.7583333333333333,0.5433541666666666
173,173,CCT,Entropy,val_optimal,False,False,multnoise,0.328375,ind_val,0.7634444444444445,0.5459097222222222
174,174,CCT,Entropy,val_optimal,False,False,noise,0.375,ind_test,0.7583333333333333,0.5666666666666667
175,175,CCT,Entropy,val_optimal,False,False,noise,0.375,ind_val,0.7634444444444445,0.5692222222222223
176,176,CCT,Entropy,val_optimal,False,False,saltpepper,0.265875,ind_test,0.7583333333333333,0.5121041666666666
177,177,CCT,Entropy,val_optimal,False,False,saltpepper,0.265875,ind_val,0.7634444444444445,0.5146597222222222
178,178,CCT,Entropy,val_optimal,False,False,smear,0.248625,ind_test,0.7583333333333333,0.5034791666666667
179,179,CCT,Entropy,val_optimal,False,False,smear,0.248625,ind_val,0.7634444444444445,0.5060347222222222
180,180,CCT,Entropy,val_optimal,True,False,OoD Test,0.51975,ind_test,0.7583333333333333,0.6390416666666667
181,181,CCT,Entropy,val_optimal,True,False,OoD Test,0.51975,ind_val,0.7363333333333333,0.6280416666666666
182,182,CCT,Entropy,val_optimal,True,False,OoD Val,0.51825,ind_test,0.7583333333333333,0.6382916666666667
183,183,CCT,Entropy,val_optimal,True,False,OoD Val,0.51825,ind_val,0.7363333333333333,0.6272916666666666
184,184,CCT,Entropy,val_optimal,True,False,brightness,0.638,ind_test,0.7583333333333333,0.6981666666666666
185,185,CCT,Entropy,val_optimal,True,False,brightness,0.638,ind_val,0.7363333333333333,0.6871666666666667
186,186,CCT,Entropy,val_optimal,True,False,contrast,0.853125,ind_test,0.7583333333333333,0.8057291666666666
187,187,CCT,Entropy,val_optimal,True,False,contrast,0.853125,ind_val,0.7363333333333333,0.7947291666666667
188,188,CCT,Entropy,val_optimal,True,False,hue,0.3685,ind_test,0.7583333333333333,0.5634166666666667
189,189,CCT,Entropy,val_optimal,True,False,hue,0.3685,ind_val,0.7363333333333333,0.5524166666666667
190,190,CCT,Entropy,val_optimal,True,False,multnoise,0.331875,ind_test,0.7583333333333333,0.5451041666666666
191,191,CCT,Entropy,val_optimal,True,False,multnoise,0.331875,ind_val,0.7363333333333333,0.5341041666666666
192,192,CCT,Entropy,val_optimal,True,False,noise,0.375,ind_test,0.7583333333333333,0.5666666666666667
193,193,CCT,Entropy,val_optimal,True,False,noise,0.375,ind_val,0.7363333333333333,0.5556666666666666
194,194,CCT,Entropy,val_optimal,True,False,saltpepper,0.265875,ind_test,0.7583333333333333,0.5121041666666666
195,195,CCT,Entropy,val_optimal,True,False,saltpepper,0.265875,ind_val,0.7363333333333333,0.5011041666666667
196,196,CCT,Entropy,val_optimal,True,False,smear,0.751375,ind_test,0.7583333333333333,0.7548541666666666
197,197,CCT,Entropy,val_optimal,True,False,smear,0.751375,ind_val,0.7363333333333333,0.7438541666666667
198,198,CCT,Entropy,val_optimal,True,True,OoD Test,0.62875,ind_test,0.7776666666666666,0.7032083333333333
199,199,CCT,Entropy,val_optimal,True,True,OoD Test,0.62875,ind_val,0.7355555555555555,0.6821527777777778
200,200,CCT,Entropy,val_optimal,True,True,OoD Val,0.669625,ind_test,0.7776666666666666,0.7236458333333333
201,201,CCT,Entropy,val_optimal,True,True,OoD Val,0.669625,ind_val,0.7355555555555555,0.7025902777777777
202,202,CCT,Entropy,val_optimal,True,True,brightness,0.822,ind_test,0.7776666666666666,0.7998333333333333
203,203,CCT,Entropy,val_optimal,True,True,brightness,0.822,ind_val,0.7355555555555555,0.7787777777777778
204,204,CCT,Entropy,val_optimal,True,True,contrast,0.729125,ind_test,0.7776666666666666,0.7533958333333333
205,205,CCT,Entropy,val_optimal,True,True,contrast,0.729125,ind_val,0.7355555555555555,0.7323402777777778
206,206,CCT,Entropy,val_optimal,True,True,hue,0.560625,ind_test,0.7776666666666666,0.6691458333333333
207,207,CCT,Entropy,val_optimal,True,True,hue,0.560625,ind_val,0.7355555555555555,0.6480902777777777
208,208,CCT,Entropy,val_optimal,True,True,multnoise,0.453875,ind_test,0.7776666666666666,0.6157708333333333
209,209,CCT,Entropy,val_optimal,True,True,multnoise,0.453875,ind_val,0.7355555555555555,0.5947152777777778
210,210,CCT,Entropy,val_optimal,True,True,noise,0.747875,ind_test,0.7776666666666666,0.7627708333333333
211,211,CCT,Entropy,val_optimal,True,True,noise,0.747875,ind_val,0.7355555555555555,0.7417152777777778
212,212,CCT,Entropy,val_optimal,True,True,saltpepper,0.38525,ind_test,0.7776666666666666,0.5814583333333333
213,213,CCT,Entropy,val_optimal,True,True,saltpepper,0.38525,ind_val,0.7355555555555555,0.5604027777777778
214,214,CCT,Entropy,val_optimal,True,True,smear,0.841625,ind_test,0.7776666666666666,0.8096458333333333
215,215,CCT,Entropy,val_optimal,True,True,smear,0.841625,ind_val,0.7355555555555555,0.7885902777777778
216,216,CCT,GradNorm,ind_span,False,False,OoD Test,0.055,ind_test,0.97,0.5125
217,217,CCT,GradNorm,ind_span,False,False,OoD Test,0.055,ind_val,0.98,0.5175
218,218,CCT,GradNorm,ind_span,False,False,OoD Val,0.045,ind_test,0.97,0.5075
219,219,CCT,GradNorm,ind_span,False,False,OoD Val,0.045,ind_val,0.98,0.5125
220,220,CCT,GradNorm,ind_span,False,False,brightness,0.017,ind_test,0.97,0.4935
221,221,CCT,GradNorm,ind_span,False,False,brightness,0.017,ind_val,0.98,0.4985
222,222,CCT,GradNorm,ind_span,False,False,contrast,0.024,ind_test,0.97,0.497
223,223,CCT,GradNorm,ind_span,False,False,contrast,0.024,ind_val,0.98,0.502
224,224,CCT,GradNorm,ind_span,False,False,hue,0.408,ind_test,0.97,0.689
225,225,CCT,GradNorm,ind_span,False,False,hue,0.408,ind_val,0.98,0.694
226,226,CCT,GradNorm,ind_span,False,False,multnoise,1.0,ind_test,0.97,0.985
227,227,CCT,GradNorm,ind_span,False,False,multnoise,1.0,ind_val,0.98,0.99
228,228,CCT,GradNorm,ind_span,False,False,noise,0.346,ind_test,0.97,0.6579999999999999
229,229,CCT,GradNorm,ind_span,False,False,noise,0.346,ind_val,0.98,0.663
230,230,CCT,GradNorm,ind_span,False,False,saltpepper,1.0,ind_test,0.97,0.985
231,231,CCT,GradNorm,ind_span,False,False,saltpepper,1.0,ind_val,0.98,0.99
232,232,CCT,GradNorm,ind_span,False,False,smear,0.016,ind_test,0.97,0.493
233,233,CCT,GradNorm,ind_span,False,False,smear,0.016,ind_val,0.98,0.498
234,234,CCT,GradNorm,ind_span,True,False,OoD Test,0.669,ind_test,0.97,0.8195
235,235,CCT,GradNorm,ind_span,True,False,OoD Test,0.669,ind_val,0.93,0.7995000000000001
236,236,CCT,GradNorm,ind_span,True,False,OoD Val,0.709,ind_test,0.97,0.8394999999999999
237,237,CCT,GradNorm,ind_span,True,False,OoD Val,0.709,ind_val,0.93,0.8195
238,238,CCT,GradNorm,ind_span,True,False,brightness,0.983,ind_test,0.97,0.9764999999999999
239,239,CCT,GradNorm,ind_span,True,False,brightness,0.983,ind_val,0.93,0.9565
240,240,CCT,GradNorm,ind_span,True,False,contrast,0.976,ind_test,0.97,0.973
241,241,CCT,GradNorm,ind_span,True,False,contrast,0.976,ind_val,0.93,0.9530000000000001
242,242,CCT,GradNorm,ind_span,True,False,hue,0.427,ind_test,0.97,0.6985
243,243,CCT,GradNorm,ind_span,True,False,hue,0.427,ind_val,0.93,0.6785
244,244,CCT,GradNorm,ind_span,True,False,multnoise,0.993,ind_test,0.97,0.9815
245,245,CCT,GradNorm,ind_span,True,False,multnoise,0.993,ind_val,0.93,0.9615
246,246,CCT,GradNorm,ind_span,True,False,noise,0.346,ind_test,0.97,0.6579999999999999
247,247,CCT,GradNorm,ind_span,True,False,noise,0.346,ind_val,0.93,0.638
248,248,CCT,GradNorm,ind_span,True,False,saltpepper,1.0,ind_test,0.97,0.985
249,249,CCT,GradNorm,ind_span,True,False,saltpepper,1.0,ind_val,0.93,0.9650000000000001
250,250,CCT,GradNorm,ind_span,True,False,smear,0.984,ind_test,0.97,0.977
251,251,CCT,GradNorm,ind_span,True,False,smear,0.984,ind_val,0.93,0.9570000000000001
252,252,CCT,GradNorm,ind_span,True,True,OoD Test,0.671625,ind_test,0.9714444444444444,0.8215347222222222
253,253,CCT,GradNorm,ind_span,True,True,OoD Test,0.671625,ind_val,0.9308888888888889,0.8012569444444444
254,254,CCT,GradNorm,ind_span,True,True,OoD Val,0.712125,ind_test,0.9714444444444444,0.8417847222222222
255,255,CCT,GradNorm,ind_span,True,True,OoD Val,0.712125,ind_val,0.9308888888888889,0.8215069444444445
256,256,CCT,GradNorm,ind_span,True,True,brightness,0.987625,ind_test,0.9714444444444444,0.9795347222222222
257,257,CCT,GradNorm,ind_span,True,True,brightness,0.987625,ind_val,0.9308888888888889,0.9592569444444444
258,258,CCT,GradNorm,ind_span,True,True,contrast,0.97425,ind_test,0.9714444444444444,0.9728472222222222
259,259,CCT,GradNorm,ind_span,True,True,contrast,0.97425,ind_val,0.9308888888888889,0.9525694444444444
260,260,CCT,GradNorm,ind_span,True,True,hue,0.436,ind_test,0.9714444444444444,0.7037222222222222
261,261,CCT,GradNorm,ind_span,True,True,hue,0.436,ind_val,0.9308888888888889,0.6834444444444444
262,262,CCT,GradNorm,ind_span,True,True,multnoise,0.993,ind_test,0.9714444444444444,0.9822222222222222
263,263,CCT,GradNorm,ind_span,True,True,multnoise,0.993,ind_val,0.9308888888888889,0.9619444444444445
264,264,CCT,GradNorm,ind_span,True,True,noise,0.32125,ind_test,0.9714444444444444,0.6463472222222222
265,265,CCT,GradNorm,ind_span,True,True,noise,0.32125,ind_val,0.9308888888888889,0.6260694444444445
266,266,CCT,GradNorm,ind_span,True,True,saltpepper,1.0,ind_test,0.9714444444444444,0.9857222222222222
267,267,CCT,GradNorm,ind_span,True,True,saltpepper,1.0,ind_val,0.9308888888888889,0.9654444444444444
268,268,CCT,GradNorm,ind_span,True,True,smear,0.98475,ind_test,0.9714444444444444,0.9780972222222222
269,269,CCT,GradNorm,ind_span,True,True,smear,0.98475,ind_val,0.9308888888888889,0.9578194444444444
270,270,CCT,GradNorm,val_optimal,False,False,OoD Test,0.408125,ind_test,0.722,0.5650625
271,271,CCT,GradNorm,val_optimal,False,False,OoD Test,0.408125,ind_val,0.741,0.5745625
272,272,CCT,GradNorm,val_optimal,False,False,OoD Val,0.403125,ind_test,0.722,0.5625625
273,273,CCT,GradNorm,val_optimal,False,False,OoD Val,0.403125,ind_val,0.741,0.5720625
274,274,CCT,GradNorm,val_optimal,False,False,brightness,0.319625,ind_test,0.722,0.5208125
