Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,InD Shift,TNR
CCT,Softmax,val_optimal,True,False,ind_val,0.7287777777777777
CCT,Softmax,val_optimal,True,True,ind_test,0.6447777777777778
CCT,Softmax,val_optimal,True,True,ind_val,0.6132222222222222
CCT,Typicality,ind_span,False,False,ind_test,0.979
CCT,Typicality,ind_span,False,False,ind_val,0.98
CCT,Typicality,ind_span,True,False,ind_test,0.979
CCT,Typicality,ind_span,True,False,ind_val,0.936
CCT,Typicality,ind_span,True,True,ind_test,0.9753333333333334
CCT,Typicality,ind_span,True,True,ind_val,0.9341111111111111
CCT,Typicality,val_optimal,False,False,ind_test,0.7067777777777777
CCT,Typicality,val_optimal,False,False,ind_val,0.7134444444444444
CCT,Typicality,val_optimal,True,False,ind_test,0.7067777777777777
CCT,Typicality,val_optimal,True,False,ind_val,0.6903333333333334
CCT,Typicality,val_optimal,True,True,ind_test,0.7047777777777777
CCT,Typicality,val_optimal,True,True,ind_val,0.6756666666666666
CCT,kNN,ind_span,False,False,ind_test,0.996
CCT,kNN,ind_span,False,False,ind_val,0.98
CCT,kNN,ind_span,True,False,ind_test,0.996
CCT,kNN,ind_span,True,False,ind_val,0.93
CCT,kNN,ind_span,True,True,ind_test,0.994
CCT,kNN,ind_span,True,True,ind_val,0.9303333333333333
CCT,kNN,val_optimal,False,False,ind_test,0.931
CCT,kNN,val_optimal,False,False,ind_val,0.9335555555555556
CCT,kNN,val_optimal,True,False,ind_test,0.931
CCT,kNN,val_optimal,True,False,ind_val,0.8904444444444445
CCT,kNN,val_optimal,True,True,ind_test,0.7582222222222222
CCT,kNN,val_optimal,True,True,ind_val,0.7335555555555555
NICO,Energy,ind_span,False,False,ind_test,0.981
NICO,Energy,ind_span,False,False,ind_val,0.98
NICO,Energy,ind_span,True,False,ind_test,0.885
NICO,Energy,ind_span,True,False,ind_val,0.934
NICO,Energy,ind_span,True,True,ind_test,0.8845833333333334
NICO,Energy,ind_span,True,True,ind_val,0.93175
NICO,Energy,val_optimal,False,False,ind_test,0.8591666666666666
NICO,Energy,val_optimal,False,False,ind_val,0.8631666666666666
NICO,Energy,val_optimal,True,False,ind_test,0.7915
NICO,Energy,val_optimal,True,False,ind_val,0.8261666666666667
NICO,Energy,val_optimal,True,True,ind_test,0.7425833333333334
NICO,Energy,val_optimal,True,True,ind_val,0.77375
NICO,Entropy,ind_span,False,False,ind_test,0.979
NICO,Entropy,ind_span,False,False,ind_val,0.98
NICO,Entropy,ind_span,True,False,ind_test,0.912
NICO,Entropy,ind_span,True,False,ind_val,0.932
NICO,Entropy,ind_span,True,True,ind_test,0.9106666666666666
NICO,Entropy,ind_span,True,True,ind_val,0.9310833333333334
NICO,Entropy,val_optimal,False,False,ind_test,0.94575
NICO,Entropy,val_optimal,False,False,ind_val,0.9456666666666667
NICO,Entropy,val_optimal,True,False,ind_test,0.8825833333333334
NICO,Entropy,val_optimal,True,False,ind_val,0.901
NICO,Entropy,val_optimal,True,True,ind_test,0.8725
NICO,Entropy,val_optimal,True,True,ind_val,0.8929166666666667
NICO,GradNorm,ind_span,False,False,ind_test,0.991
NICO,GradNorm,ind_span,False,False,ind_val,0.98
NICO,GradNorm,ind_span,True,False,ind_test,0.936
NICO,GradNorm,ind_span,True,False,ind_val,0.934
NICO,GradNorm,ind_span,True,True,ind_test,0.9344166666666667
NICO,GradNorm,ind_span,True,True,ind_val,0.93175
NICO,GradNorm,val_optimal,False,False,ind_test,0.8773333333333333
NICO,GradNorm,val_optimal,False,False,ind_val,0.8796666666666667
NICO,GradNorm,val_optimal,True,False,ind_test,0.8348333333333333
NICO,GradNorm,val_optimal,True,False,ind_val,0.8428333333333333
NICO,GradNorm,val_optimal,True,True,ind_test,0.839
NICO,GradNorm,val_optimal,True,True,ind_val,0.8568333333333333
NICO,Softmax,ind_span,False,False,ind_test,0.978
NICO,Softmax,ind_span,False,False,ind_val,0.98
NICO,Softmax,ind_span,True,False,ind_test,0.895
NICO,Softmax,ind_span,True,False,ind_val,0.932
NICO,Softmax,ind_span,True,True,ind_test,0.8950833333333333
NICO,Softmax,ind_span,True,True,ind_val,0.9316666666666666
NICO,Softmax,val_optimal,False,False,ind_test,0.8929166666666667
NICO,Softmax,val_optimal,False,False,ind_val,0.9046666666666666
NICO,Softmax,val_optimal,True,False,ind_test,0.8229166666666666
NICO,Softmax,val_optimal,True,False,ind_val,0.8648333333333333
NICO,Softmax,val_optimal,True,True,ind_test,0.7813333333333333
NICO,Softmax,val_optimal,True,True,ind_val,0.8101666666666667
NICO,Typicality,ind_span,False,False,ind_test,0.989
NICO,Typicality,ind_span,False,False,ind_val,0.98
NICO,Typicality,ind_span,True,False,ind_test,0.89
NICO,Typicality,ind_span,True,False,ind_val,0.93
NICO,Typicality,ind_span,True,True,ind_test,0.8908333333333334
NICO,Typicality,ind_span,True,True,ind_val,0.93
NICO,Typicality,val_optimal,False,False,ind_test,0.6980833333333333
NICO,Typicality,val_optimal,False,False,ind_val,0.69675
NICO,Typicality,val_optimal,True,False,ind_test,0.6585833333333333
NICO,Typicality,val_optimal,True,False,ind_val,0.6780833333333334
NICO,Typicality,val_optimal,True,True,ind_test,0.6198333333333333
NICO,Typicality,val_optimal,True,True,ind_val,0.6359166666666667
NICO,kNN,ind_span,False,False,ind_test,0.979
NICO,kNN,ind_span,False,False,ind_val,0.98
NICO,kNN,ind_span,True,False,ind_test,0.898
NICO,kNN,ind_span,True,False,ind_val,0.932
NICO,kNN,ind_span,True,True,ind_test,0.8975
NICO,kNN,ind_span,True,True,ind_val,0.92975
NICO,kNN,val_optimal,False,False,ind_test,0.91075
NICO,kNN,val_optimal,False,False,ind_val,0.9240833333333334
NICO,kNN,val_optimal,True,False,ind_test,0.8429166666666666
NICO,kNN,val_optimal,True,False,ind_val,0.88075
NICO,kNN,val_optimal,True,True,ind_test,0.78975
NICO,kNN,val_optimal,True,True,ind_val,0.8201666666666667
Office31,Energy,ind_span,False,False,ind_test,0.98
Office31,Energy,ind_span,False,False,ind_val,0.98
Office31,Energy,ind_span,True,False,ind_test,0.915
Office31,Energy,ind_span,True,False,ind_val,0.934
Office31,Energy,ind_span,True,True,ind_test,0.9162222222222223
Office31,Energy,ind_span,True,True,ind_val,0.9332222222222222
Office31,Energy,val_optimal,False,False,ind_test,0.6501111111111111
Office31,Energy,val_optimal,False,False,ind_val,0.6615555555555556
Office31,Energy,val_optimal,True,False,ind_test,0.6326666666666667
Office31,Energy,val_optimal,True,False,ind_val,0.6431111111111111
Office31,Energy,val_optimal,True,True,ind_test,0.5833333333333334
Office31,Energy,val_optimal,True,True,ind_val,0.6004444444444444
Office31,Entropy,ind_span,False,False,ind_test,0.986
Office31,Entropy,ind_span,False,False,ind_val,0.98
Office31,Entropy,ind_span,True,False,ind_test,0.897
Office31,Entropy,ind_span,True,False,ind_val,0.93
Office31,Entropy,ind_span,True,True,ind_test,0.8972222222222223
Office31,Entropy,ind_span,True,True,ind_val,0.9292222222222222
Office31,Entropy,val_optimal,False,False,ind_test,0.6444444444444445
Office31,Entropy,val_optimal,False,False,ind_val,0.6563333333333333
Office31,Entropy,val_optimal,True,False,ind_test,0.6163333333333333
Office31,Entropy,val_optimal,True,False,ind_val,0.6416666666666667
Office31,Entropy,val_optimal,True,True,ind_test,0.6304444444444445
Office31,Entropy,val_optimal,True,True,ind_val,0.656
Office31,GradNorm,ind_span,False,False,ind_test,0.964
Office31,GradNorm,ind_span,False,False,ind_val,0.98
Office31,GradNorm,ind_span,True,False,ind_test,0.897
Office31,GradNorm,ind_span,True,False,ind_val,0.93
Office31,GradNorm,ind_span,True,True,ind_test,0.8988888888888888
Office31,GradNorm,ind_span,True,True,ind_val,0.9317777777777778
Office31,GradNorm,val_optimal,False,False,ind_test,0.7983333333333333
Office31,GradNorm,val_optimal,False,False,ind_val,0.8312222222222222
Office31,GradNorm,val_optimal,True,False,ind_test,0.7544444444444445
Office31,GradNorm,val_optimal,True,False,ind_val,0.7985555555555556
Office31,GradNorm,val_optimal,True,True,ind_test,0.7392222222222222
Office31,GradNorm,val_optimal,True,True,ind_val,0.7806666666666666
Office31,Softmax,ind_span,False,False,ind_test,0.969
Office31,Softmax,ind_span,False,False,ind_val,0.98
Office31,Softmax,ind_span,True,False,ind_test,0.902
Office31,Softmax,ind_span,True,False,ind_val,0.932
Office31,Softmax,ind_span,True,True,ind_test,0.9045555555555556
Office31,Softmax,ind_span,True,True,ind_val,0.9323333333333333
Office31,Softmax,val_optimal,False,False,ind_test,0.6057777777777777
Office31,Softmax,val_optimal,False,False,ind_val,0.6418888888888888
Office31,Softmax,val_optimal,True,False,ind_test,0.5974444444444444
Office31,Softmax,val_optimal,True,False,ind_val,0.6292222222222222
Office31,Softmax,val_optimal,True,True,ind_test,0.6304444444444445
Office31,Softmax,val_optimal,True,True,ind_val,0.6611111111111111
Office31,Typicality,ind_span,False,False,ind_test,0.971
Office31,Typicality,ind_span,False,False,ind_val,0.98
Office31,Typicality,ind_span,True,False,ind_test,0.814
Office31,Typicality,ind_span,True,False,ind_val,0.934
Office31,Typicality,ind_span,True,True,ind_test,0.8133333333333334
Office31,Typicality,ind_span,True,True,ind_val,0.9323333333333333
Office31,Typicality,val_optimal,False,False,ind_test,0.7998888888888889
Office31,Typicality,val_optimal,False,False,ind_val,0.8156666666666667
Office31,Typicality,val_optimal,True,False,ind_test,0.6993333333333334
Office31,Typicality,val_optimal,True,False,ind_val,0.7834444444444445
Office31,Typicality,val_optimal,True,True,ind_test,0.7814444444444445
Office31,Typicality,val_optimal,True,True,ind_val,0.8743333333333333
Office31,kNN,ind_span,False,False,ind_test,0.945
Office31,kNN,ind_span,False,False,ind_val,0.98
Office31,kNN,ind_span,True,False,ind_test,0.871
Office31,kNN,ind_span,True,False,ind_val,0.93
Office31,kNN,ind_span,True,True,ind_test,0.8746666666666667
Office31,kNN,ind_span,True,True,ind_val,0.9286666666666666
Office31,kNN,val_optimal,False,False,ind_test,0.7414444444444445
Office31,kNN,val_optimal,False,False,ind_val,0.8113333333333334
Office31,kNN,val_optimal,True,False,ind_test,0.697
Office31,kNN,val_optimal,True,False,ind_val,0.7804444444444445
Office31,kNN,val_optimal,True,True,ind_test,0.6823333333333333
Office31,kNN,val_optimal,True,True,ind_val,0.7618888888888888
OfficeHome,Energy,ind_span,False,False,ind_test,0.985
OfficeHome,Energy,ind_span,False,False,ind_val,0.98
OfficeHome,Energy,ind_span,True,False,ind_test,0.931
OfficeHome,Energy,ind_span,True,False,ind_val,0.93
OfficeHome,Energy,ind_span,True,True,ind_test,0.9253
OfficeHome,Energy,ind_span,True,True,ind_val,0.925
OfficeHome,Energy,val_optimal,False,False,ind_test,0.653
OfficeHome,Energy,val_optimal,False,False,ind_val,0.6029
OfficeHome,Energy,val_optimal,True,False,ind_test,0.6344
OfficeHome,Energy,val_optimal,True,False,ind_val,0.6009
OfficeHome,Energy,val_optimal,True,True,ind_test,0.6542
OfficeHome,Energy,val_optimal,True,True,ind_val,0.6213
OfficeHome,Entropy,ind_span,False,False,ind_test,0.986
OfficeHome,Entropy,ind_span,False,False,ind_val,0.98
OfficeHome,Entropy,ind_span,True,False,ind_test,0.931
OfficeHome,Entropy,ind_span,True,False,ind_val,0.936
OfficeHome,Entropy,ind_span,True,True,ind_test,0.9329
OfficeHome,Entropy,ind_span,True,True,ind_val,0.9343
OfficeHome,Entropy,val_optimal,False,False,ind_test,0.8916
OfficeHome,Entropy,val_optimal,False,False,ind_val,0.8906
OfficeHome,Entropy,val_optimal,True,False,ind_test,0.8452
OfficeHome,Entropy,val_optimal,True,False,ind_val,0.8514
OfficeHome,Entropy,val_optimal,True,True,ind_test,0.8489
OfficeHome,Entropy,val_optimal,True,True,ind_val,0.8562
OfficeHome,GradNorm,ind_span,False,False,ind_test,0.955
OfficeHome,GradNorm,ind_span,False,False,ind_val,0.98
OfficeHome,GradNorm,ind_span,True,False,ind_test,0.875
OfficeHome,GradNorm,ind_span,True,False,ind_val,0.936
OfficeHome,GradNorm,ind_span,True,True,ind_test,0.8727
OfficeHome,GradNorm,ind_span,True,True,ind_val,0.9347
OfficeHome,GradNorm,val_optimal,False,False,ind_test,0.8228
OfficeHome,GradNorm,val_optimal,False,False,ind_val,0.8429
OfficeHome,GradNorm,val_optimal,True,False,ind_test,0.763
OfficeHome,GradNorm,val_optimal,True,False,ind_val,0.8067
OfficeHome,GradNorm,val_optimal,True,True,ind_test,0.7618
OfficeHome,GradNorm,val_optimal,True,True,ind_val,0.8058
OfficeHome,Softmax,ind_span,False,False,ind_test,0.975
OfficeHome,Softmax,ind_span,False,False,ind_val,0.98
OfficeHome,Softmax,ind_span,True,False,ind_test,0.91
OfficeHome,Softmax,ind_span,True,False,ind_val,0.932
OfficeHome,Softmax,ind_span,True,True,ind_test,0.9173
OfficeHome,Softmax,ind_span,True,True,ind_val,0.9324
OfficeHome,Softmax,val_optimal,False,False,ind_test,0.8229
OfficeHome,Softmax,val_optimal,False,False,ind_val,0.8387
OfficeHome,Softmax,val_optimal,True,False,ind_test,0.7795
OfficeHome,Softmax,val_optimal,True,False,ind_val,0.8053
OfficeHome,Softmax,val_optimal,True,True,ind_test,0.7792
OfficeHome,Softmax,val_optimal,True,True,ind_val,0.808
OfficeHome,Typicality,ind_span,False,False,ind_test,0.981
OfficeHome,Typicality,ind_span,False,False,ind_val,0.98
OfficeHome,Typicality,ind_span,True,False,ind_test,0.93
OfficeHome,Typicality,ind_span,True,False,ind_val,0.936
OfficeHome,Typicality,ind_span,True,True,ind_test,0.934
OfficeHome,Typicality,ind_span,True,True,ind_val,0.9345
OfficeHome,Typicality,val_optimal,False,False,ind_test,0.8247
OfficeHome,Typicality,val_optimal,False,False,ind_val,0.833
OfficeHome,Typicality,val_optimal,True,False,ind_test,0.7907
OfficeHome,Typicality,val_optimal,True,False,ind_val,0.7986
OfficeHome,Typicality,val_optimal,True,True,ind_test,0.8557
OfficeHome,Typicality,val_optimal,True,True,ind_val,0.8672
OfficeHome,kNN,ind_span,False,False,ind_test,0.985
OfficeHome,kNN,ind_span,False,False,ind_val,0.98
OfficeHome,kNN,ind_span,True,False,ind_test,0.922
OfficeHome,kNN,ind_span,True,False,ind_val,0.932
OfficeHome,kNN,ind_span,True,True,ind_test,0.9231
OfficeHome,kNN,ind_span,True,True,ind_val,0.9319
OfficeHome,kNN,val_optimal,False,False,ind_test,0.9148
OfficeHome,kNN,val_optimal,False,False,ind_val,0.9283
OfficeHome,kNN,val_optimal,True,False,ind_test,0.8576
OfficeHome,kNN,val_optimal,True,False,ind_val,0.8841
OfficeHome,kNN,val_optimal,True,True,ind_test,0.8567
OfficeHome,kNN,val_optimal,True,True,ind_val,0.8821
Polyp,Energy,ind_span,False,False,ind_test,0.943
Polyp,Energy,ind_span,False,False,ind_val,0.98
Polyp,Energy,ind_span,True,False,ind_test,0.942
Polyp,Energy,ind_span,True,False,ind_val,0.979
Polyp,Energy,ind_span,True,True,ind_test,0.971
Polyp,Energy,ind_span,True,True,ind_val,0.9823333333333333
Polyp,Energy,val_optimal,False,False,ind_test,0.9616666666666667
Polyp,Energy,val_optimal,False,False,ind_val,0.9923333333333333
Polyp,Energy,val_optimal,True,False,ind_test,0.9606666666666667
Polyp,Energy,val_optimal,True,False,ind_val,0.9913333333333333
Polyp,Energy,val_optimal,True,True,ind_test,0.9656666666666667
Polyp,Energy,val_optimal,True,True,ind_val,0.992
Polyp,Entropy,ind_span,False,False,ind_test,0.951
Polyp,Entropy,ind_span,False,False,ind_val,0.98
Polyp,Entropy,ind_span,True,False,ind_test,0.941
Polyp,Entropy,ind_span,True,False,ind_val,0.979
Polyp,Entropy,ind_span,True,True,ind_test,0.9516666666666667
Polyp,Entropy,ind_span,True,True,ind_val,0.984
Polyp,Entropy,val_optimal,False,False,ind_test,0.9026666666666666
Polyp,Entropy,val_optimal,False,False,ind_val,0.936
Polyp,Entropy,val_optimal,True,False,ind_test,0.8906666666666667
Polyp,Entropy,val_optimal,True,False,ind_val,0.935
Polyp,Entropy,val_optimal,True,True,ind_test,0.8913333333333333
Polyp,Entropy,val_optimal,True,True,ind_val,0.9353333333333333
Polyp,GradNorm,ind_span,False,False,ind_test,0.993
Polyp,GradNorm,ind_span,False,False,ind_val,0.98
Polyp,GradNorm,ind_span,True,False,ind_test,0.991
Polyp,GradNorm,ind_span,True,False,ind_val,0.979
Polyp,GradNorm,ind_span,True,True,ind_test,0.989
Polyp,GradNorm,ind_span,True,True,ind_val,0.9786666666666667
Polyp,GradNorm,val_optimal,False,False,ind_test,0.859
Polyp,GradNorm,val_optimal,False,False,ind_val,0.645
Polyp,GradNorm,val_optimal,True,False,ind_test,0.8576666666666667
Polyp,GradNorm,val_optimal,True,False,ind_val,0.6453333333333333
Polyp,GradNorm,val_optimal,True,True,ind_test,0.8256666666666667
Polyp,GradNorm,val_optimal,True,True,ind_val,0.595
Polyp,Softmax,ind_span,False,False,ind_test,1.0
Polyp,Softmax,ind_span,False,False,ind_val,1.0
Polyp,Softmax,ind_span,True,False,ind_test,0.991
Polyp,Softmax,ind_span,True,False,ind_val,0.999
Polyp,Softmax,ind_span,True,True,ind_test,0.991
Polyp,Softmax,ind_span,True,True,ind_val,0.999
Polyp,Softmax,val_optimal,False,False,ind_test,1.0
Polyp,Softmax,val_optimal,False,False,ind_val,1.0
Polyp,Softmax,val_optimal,True,False,ind_test,0.991
Polyp,Softmax,val_optimal,True,False,ind_val,0.999
Polyp,Softmax,val_optimal,True,True,ind_test,0.991
Polyp,Softmax,val_optimal,True,True,ind_val,0.999
Polyp,Typicality,ind_span,False,False,ind_test,0.973
Polyp,Typicality,ind_span,False,False,ind_val,0.98
Polyp,Typicality,ind_span,True,False,ind_test,0.972
Polyp,Typicality,ind_span,True,False,ind_val,0.979
Polyp,Typicality,ind_span,True,True,ind_test,0.978
Polyp,Typicality,ind_span,True,True,ind_val,0.9826666666666667
Polyp,Typicality,val_optimal,False,False,ind_test,0.8893333333333333
Polyp,Typicality,val_optimal,False,False,ind_val,0.9153333333333333
Polyp,Typicality,val_optimal,True,False,ind_test,0.8863333333333333
Polyp,Typicality,val_optimal,True,False,ind_val,0.915
Polyp,Typicality,val_optimal,True,True,ind_test,0.8693333333333333
Polyp,Typicality,val_optimal,True,True,ind_val,0.894
Polyp,kNN,ind_span,False,False,ind_test,0.663
Polyp,kNN,ind_span,False,False,ind_val,0.98
Polyp,kNN,ind_span,True,False,ind_test,0.662
Polyp,kNN,ind_span,True,False,ind_val,0.979
Polyp,kNN,ind_span,True,True,ind_test,0.886
Polyp,kNN,ind_span,True,True,ind_val,0.9813333333333333
Polyp,kNN,val_optimal,False,False,ind_test,0.9663333333333334
Polyp,kNN,val_optimal,False,False,ind_val,1.0
Polyp,kNN,val_optimal,True,False,ind_test,0.9653333333333334
Polyp,kNN,val_optimal,True,False,ind_val,0.999
Polyp,kNN,val_optimal,True,True,ind_test,0.885
Polyp,kNN,val_optimal,True,True,ind_val,0.999
