Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Shift,TPR
CCT,Energy,val_optimal,False,False,noise,0.5
CCT,Energy,val_optimal,False,False,saltpepper,0.494625
CCT,Energy,val_optimal,False,False,smear,0.109625
CCT,Energy,val_optimal,True,False,OoD Test,0.411875
CCT,Energy,val_optimal,True,False,OoD Val,0.42325
CCT,Energy,val_optimal,True,False,brightness,0.699125
CCT,Energy,val_optimal,True,False,contrast,0.959625
CCT,Energy,val_optimal,True,False,hue,0.164125
CCT,Energy,val_optimal,True,False,multnoise,0.4775
CCT,Energy,val_optimal,True,False,noise,0.5
CCT,Energy,val_optimal,True,False,saltpepper,0.494625
CCT,Energy,val_optimal,True,False,smear,0.890375
CCT,Energy,val_optimal,True,True,OoD Test,0.323875
CCT,Energy,val_optimal,True,True,OoD Val,0.3465
CCT,Energy,val_optimal,True,True,brightness,0.697
CCT,Energy,val_optimal,True,True,contrast,0.726625
CCT,Energy,val_optimal,True,True,hue,0.296375
CCT,Energy,val_optimal,True,True,multnoise,0.602875
CCT,Energy,val_optimal,True,True,noise,0.625
CCT,Energy,val_optimal,True,True,saltpepper,0.619625
CCT,Energy,val_optimal,True,True,smear,0.81025
CCT,Entropy,density,False,False,OoD Test,0.961
CCT,Entropy,density,False,False,OoD Val,0.947
CCT,Entropy,density,False,False,brightness,0.762
CCT,Entropy,density,False,False,contrast,0.439
CCT,Entropy,density,False,False,hue,1.0
CCT,Entropy,density,False,False,multnoise,0.993
CCT,Entropy,density,False,False,noise,1.0
CCT,Entropy,density,False,False,saltpepper,0.956
CCT,Entropy,density,False,False,smear,0.48
CCT,Entropy,density,True,False,OoD Test,0.821
CCT,Entropy,density,True,False,OoD Val,0.773
CCT,Entropy,density,True,False,brightness,0.238
CCT,Entropy,density,True,False,contrast,0.561
CCT,Entropy,density,True,False,hue,0.986
CCT,Entropy,density,True,False,multnoise,0.993
CCT,Entropy,density,True,False,noise,1.0
CCT,Entropy,density,True,False,saltpepper,0.956
CCT,Entropy,density,True,False,smear,0.52
CCT,Entropy,density,True,True,OoD Test,0.808625
CCT,Entropy,density,True,True,OoD Val,0.760125
CCT,Entropy,density,True,True,brightness,0.231
CCT,Entropy,density,True,True,contrast,0.505
CCT,Entropy,density,True,True,hue,0.986
CCT,Entropy,density,True,True,multnoise,0.994
CCT,Entropy,density,True,True,noise,1.0
CCT,Entropy,density,True,True,saltpepper,0.95925
CCT,Entropy,density,True,True,smear,0.480125
CCT,Entropy,ind_span,False,False,OoD Test,0.813
CCT,Entropy,ind_span,False,False,OoD Val,0.803
CCT,Entropy,ind_span,False,False,brightness,0.306
CCT,Entropy,ind_span,False,False,contrast,0.006
CCT,Entropy,ind_span,False,False,hue,0.697
CCT,Entropy,ind_span,False,False,multnoise,0.0
CCT,Entropy,ind_span,False,False,noise,1.0
CCT,Entropy,ind_span,False,False,saltpepper,0.0
CCT,Entropy,ind_span,False,False,smear,0.039
CCT,Entropy,ind_span,True,False,OoD Test,0.727
CCT,Entropy,ind_span,True,False,OoD Val,0.671
CCT,Entropy,ind_span,True,False,brightness,0.694
CCT,Entropy,ind_span,True,False,contrast,0.994
CCT,Entropy,ind_span,True,False,hue,0.685
CCT,Entropy,ind_span,True,False,multnoise,0.0
CCT,Entropy,ind_span,True,False,noise,1.0
CCT,Entropy,ind_span,True,False,saltpepper,0.0
CCT,Entropy,ind_span,True,False,smear,0.961
CCT,Entropy,ind_span,True,True,OoD Test,0.620875
CCT,Entropy,ind_span,True,True,OoD Val,0.583875
CCT,Entropy,ind_span,True,True,brightness,0.7645
CCT,Entropy,ind_span,True,True,contrast,0.9965
CCT,Entropy,ind_span,True,True,hue,0.705625
CCT,Entropy,ind_span,True,True,multnoise,0.0
CCT,Entropy,ind_span,True,True,noise,1.0
CCT,Entropy,ind_span,True,True,saltpepper,0.0
CCT,Entropy,ind_span,True,True,smear,0.973
CCT,Entropy,val_optimal,False,False,OoD Test,0.483625
CCT,Entropy,val_optimal,False,False,OoD Val,0.4775
CCT,Entropy,val_optimal,False,False,brightness,0.378125
CCT,Entropy,val_optimal,False,False,contrast,0.111375
CCT,Entropy,val_optimal,False,False,hue,0.3015
CCT,Entropy,val_optimal,False,False,multnoise,0.316875
CCT,Entropy,val_optimal,False,False,noise,0.375
CCT,Entropy,val_optimal,False,False,saltpepper,0.2995
CCT,Entropy,val_optimal,False,False,smear,0.232375
CCT,Entropy,val_optimal,True,False,OoD Test,0.490875
CCT,Entropy,val_optimal,True,False,OoD Val,0.48775
CCT,Entropy,val_optimal,True,False,brightness,0.621875
CCT,Entropy,val_optimal,True,False,contrast,0.888625
CCT,Entropy,val_optimal,True,False,hue,0.3065
CCT,Entropy,val_optimal,True,False,multnoise,0.316875
CCT,Entropy,val_optimal,True,False,noise,0.375
CCT,Entropy,val_optimal,True,False,saltpepper,0.2995
CCT,Entropy,val_optimal,True,False,smear,0.767625
CCT,Entropy,val_optimal,True,True,OoD Test,0.326125
CCT,Entropy,val_optimal,True,True,OoD Val,0.349375
CCT,Entropy,val_optimal,True,True,brightness,0.7225
CCT,Entropy,val_optimal,True,True,contrast,0.770375
CCT,Entropy,val_optimal,True,True,hue,0.535625
CCT,Entropy,val_optimal,True,True,multnoise,0.4855
CCT,Entropy,val_optimal,True,True,noise,0.625
CCT,Entropy,val_optimal,True,True,saltpepper,0.429625
CCT,Entropy,val_optimal,True,True,smear,0.77425
CCT,GradNorm,density,False,False,OoD Test,0.147
CCT,GradNorm,density,False,False,OoD Val,0.156
CCT,GradNorm,density,False,False,brightness,0.048
CCT,GradNorm,density,False,False,contrast,0.017
CCT,GradNorm,density,False,False,hue,0.469
CCT,GradNorm,density,False,False,multnoise,1.0
CCT,GradNorm,density,False,False,noise,0.614
CCT,GradNorm,density,False,False,saltpepper,1.0
CCT,GradNorm,density,False,False,smear,0.01
CCT,GradNorm,density,True,False,OoD Test,0.21
CCT,GradNorm,density,True,False,OoD Val,0.24
CCT,GradNorm,density,True,False,brightness,0.952
CCT,GradNorm,density,True,False,contrast,0.983
CCT,GradNorm,density,True,False,hue,0.471
CCT,GradNorm,density,True,False,multnoise,1.0
CCT,GradNorm,density,True,False,noise,0.614
CCT,GradNorm,density,True,False,saltpepper,1.0
CCT,GradNorm,density,True,False,smear,0.99
CCT,GradNorm,density,True,True,OoD Test,0.1695
CCT,GradNorm,density,True,True,OoD Val,0.2055
CCT,GradNorm,density,True,True,brightness,0.96875
CCT,GradNorm,density,True,True,contrast,0.988875
CCT,GradNorm,density,True,True,hue,0.493125
CCT,GradNorm,density,True,True,multnoise,1.0
CCT,GradNorm,density,True,True,noise,0.48525
CCT,GradNorm,density,True,True,saltpepper,1.0
CCT,GradNorm,density,True,True,smear,0.992375
CCT,GradNorm,ind_span,False,False,OoD Test,0.206
CCT,GradNorm,ind_span,False,False,OoD Val,0.21
CCT,GradNorm,ind_span,False,False,brightness,0.07
CCT,GradNorm,ind_span,False,False,contrast,0.034
CCT,GradNorm,ind_span,False,False,hue,0.607
CCT,GradNorm,ind_span,False,False,multnoise,1.0
CCT,GradNorm,ind_span,False,False,noise,0.68
CCT,GradNorm,ind_span,False,False,saltpepper,1.0
CCT,GradNorm,ind_span,False,False,smear,0.021
CCT,GradNorm,ind_span,True,False,OoD Test,0.261
CCT,GradNorm,ind_span,True,False,OoD Val,0.276
CCT,GradNorm,ind_span,True,False,brightness,0.93
CCT,GradNorm,ind_span,True,False,contrast,0.966
CCT,GradNorm,ind_span,True,False,hue,0.603
CCT,GradNorm,ind_span,True,False,multnoise,1.0
CCT,GradNorm,ind_span,True,False,noise,0.68
CCT,GradNorm,ind_span,True,False,saltpepper,1.0
CCT,GradNorm,ind_span,True,False,smear,0.979
CCT,GradNorm,ind_span,True,True,OoD Test,0.232625
CCT,GradNorm,ind_span,True,True,OoD Val,0.2495
CCT,GradNorm,ind_span,True,True,brightness,0.94475
CCT,GradNorm,ind_span,True,True,contrast,0.972125
CCT,GradNorm,ind_span,True,True,hue,0.617375
CCT,GradNorm,ind_span,True,True,multnoise,1.0
CCT,GradNorm,ind_span,True,True,noise,0.59975
CCT,GradNorm,ind_span,True,True,saltpepper,1.0
CCT,GradNorm,ind_span,True,True,smear,0.981125
CCT,GradNorm,val_optimal,False,False,OoD Test,0.385
CCT,GradNorm,val_optimal,False,False,OoD Val,0.37225
CCT,GradNorm,val_optimal,False,False,brightness,0.256625
CCT,GradNorm,val_optimal,False,False,contrast,0.1935
CCT,GradNorm,val_optimal,False,False,hue,0.123125
CCT,GradNorm,val_optimal,False,False,multnoise,0.75
CCT,GradNorm,val_optimal,False,False,noise,0.55675
CCT,GradNorm,val_optimal,False,False,saltpepper,0.75
CCT,GradNorm,val_optimal,False,False,smear,0.16475
CCT,GradNorm,val_optimal,True,False,OoD Test,0.40725
CCT,GradNorm,val_optimal,True,False,OoD Val,0.40425
CCT,GradNorm,val_optimal,True,False,brightness,0.743375
CCT,GradNorm,val_optimal,True,False,contrast,0.8065
CCT,GradNorm,val_optimal,True,False,hue,0.132125
CCT,GradNorm,val_optimal,True,False,multnoise,0.75
CCT,GradNorm,val_optimal,True,False,noise,0.55675
CCT,GradNorm,val_optimal,True,False,saltpepper,0.75
CCT,GradNorm,val_optimal,True,False,smear,0.83525
CCT,GradNorm,val_optimal,True,True,OoD Test,0.467875
CCT,GradNorm,val_optimal,True,True,OoD Val,0.463625
CCT,GradNorm,val_optimal,True,True,brightness,0.666375
CCT,GradNorm,val_optimal,True,True,contrast,0.72875
CCT,GradNorm,val_optimal,True,True,hue,0.13575
CCT,GradNorm,val_optimal,True,True,multnoise,0.75
CCT,GradNorm,val_optimal,True,True,noise,0.59275
CCT,GradNorm,val_optimal,True,True,saltpepper,0.75
CCT,GradNorm,val_optimal,True,True,smear,0.755625
CCT,Softmax,density,False,False,OoD Test,0.0
CCT,Softmax,density,False,False,OoD Val,0.0
CCT,Softmax,density,False,False,brightness,0.0
CCT,Softmax,density,False,False,contrast,0.0
CCT,Softmax,density,False,False,hue,0.0
CCT,Softmax,density,False,False,multnoise,0.0
CCT,Softmax,density,False,False,noise,0.0
CCT,Softmax,density,False,False,saltpepper,0.0
CCT,Softmax,density,False,False,smear,0.0
CCT,Softmax,density,True,False,OoD Test,0.124
CCT,Softmax,density,True,False,OoD Val,0.151
CCT,Softmax,density,True,False,brightness,1.0
CCT,Softmax,density,True,False,contrast,1.0
CCT,Softmax,density,True,False,hue,0.008
CCT,Softmax,density,True,False,multnoise,0.0
CCT,Softmax,density,True,False,noise,0.0
CCT,Softmax,density,True,False,saltpepper,0.0
CCT,Softmax,density,True,False,smear,1.0
CCT,Softmax,density,True,True,OoD Test,0.124
CCT,Softmax,density,True,True,OoD Val,0.151
CCT,Softmax,density,True,True,brightness,1.0
CCT,Softmax,density,True,True,contrast,1.0
CCT,Softmax,density,True,True,hue,0.008
CCT,Softmax,density,True,True,multnoise,0.0
CCT,Softmax,density,True,True,noise,0.0
CCT,Softmax,density,True,True,saltpepper,0.0
CCT,Softmax,density,True,True,smear,1.0
CCT,Softmax,ind_span,False,False,OoD Test,1.0
CCT,Softmax,ind_span,False,False,OoD Val,1.0
CCT,Softmax,ind_span,False,False,brightness,0.894
CCT,Softmax,ind_span,False,False,contrast,0.053
CCT,Softmax,ind_span,False,False,hue,0.068
CCT,Softmax,ind_span,False,False,multnoise,0.677
CCT,Softmax,ind_span,False,False,noise,0.083
CCT,Softmax,ind_span,False,False,saltpepper,0.99
CCT,Softmax,ind_span,False,False,smear,0.248
CCT,Softmax,ind_span,True,False,OoD Test,0.876
CCT,Softmax,ind_span,True,False,OoD Val,0.849
CCT,Softmax,ind_span,True,False,brightness,0.106
CCT,Softmax,ind_span,True,False,contrast,0.947
CCT,Softmax,ind_span,True,False,hue,0.076
CCT,Softmax,ind_span,True,False,multnoise,0.677
CCT,Softmax,ind_span,True,False,noise,0.083
CCT,Softmax,ind_span,True,False,saltpepper,0.99
CCT,Softmax,ind_span,True,False,smear,0.752
CCT,Softmax,ind_span,True,True,OoD Test,0.749625
CCT,Softmax,ind_span,True,True,OoD Val,0.713125
CCT,Softmax,ind_span,True,True,brightness,0.382125
CCT,Softmax,ind_span,True,True,contrast,0.9565
CCT,Softmax,ind_span,True,True,hue,0.0455
CCT,Softmax,ind_span,True,True,multnoise,0.364625
CCT,Softmax,ind_span,True,True,noise,0.046625
CCT,Softmax,ind_span,True,True,saltpepper,0.606375
CCT,Softmax,ind_span,True,True,smear,0.848125
CCT,Softmax,val_optimal,False,False,OoD Test,0.8745
CCT,Softmax,val_optimal,False,False,OoD Val,0.875
CCT,Softmax,val_optimal,False,False,brightness,0.788
CCT,Softmax,val_optimal,False,False,contrast,0.109875
CCT,Softmax,val_optimal,False,False,hue,0.21375
CCT,Softmax,val_optimal,False,False,multnoise,0.654125
CCT,Softmax,val_optimal,False,False,noise,0.229375
CCT,Softmax,val_optimal,False,False,saltpepper,0.856875
CCT,Softmax,val_optimal,False,False,smear,0.389
CCT,Softmax,val_optimal,True,False,OoD Test,0.7815
CCT,Softmax,val_optimal,True,False,OoD Val,0.76175
CCT,Softmax,val_optimal,True,False,brightness,0.212
CCT,Softmax,val_optimal,True,False,contrast,0.890125
CCT,Softmax,val_optimal,True,False,hue,0.219
CCT,Softmax,val_optimal,True,False,multnoise,0.654125
CCT,Softmax,val_optimal,True,False,noise,0.229375
CCT,Softmax,val_optimal,True,False,saltpepper,0.856875
CCT,Softmax,val_optimal,True,False,smear,0.611
CCT,Softmax,val_optimal,True,True,OoD Test,0.6875
CCT,Softmax,val_optimal,True,True,OoD Val,0.6745
CCT,Softmax,val_optimal,True,True,brightness,0.2115
CCT,Softmax,val_optimal,True,True,contrast,0.733
CCT,Softmax,val_optimal,True,True,hue,0.377875
CCT,Softmax,val_optimal,True,True,multnoise,0.59675
CCT,Softmax,val_optimal,True,True,noise,0.38075
CCT,Softmax,val_optimal,True,True,saltpepper,0.73275
CCT,Softmax,val_optimal,True,True,smear,0.459875
CCT,Typicality,density,False,False,OoD Test,0.999
CCT,Typicality,density,False,False,OoD Val,0.998
CCT,Typicality,density,False,False,brightness,0.997
CCT,Typicality,density,False,False,contrast,0.993
CCT,Typicality,density,False,False,hue,0.994
CCT,Typicality,density,False,False,multnoise,1.0
CCT,Typicality,density,False,False,noise,1.0
CCT,Typicality,density,False,False,saltpepper,1.0
CCT,Typicality,density,False,False,smear,0.987
CCT,Typicality,density,True,False,OoD Test,0.86
CCT,Typicality,density,True,False,OoD Val,0.807
CCT,Typicality,density,True,False,brightness,0.003
CCT,Typicality,density,True,False,contrast,0.007
CCT,Typicality,density,True,False,hue,0.982
CCT,Typicality,density,True,False,multnoise,1.0
CCT,Typicality,density,True,False,noise,1.0
CCT,Typicality,density,True,False,saltpepper,1.0
CCT,Typicality,density,True,False,smear,0.013
CCT,Typicality,density,True,True,OoD Test,0.8605
CCT,Typicality,density,True,True,OoD Val,0.80825
CCT,Typicality,density,True,True,brightness,0.00325
CCT,Typicality,density,True,True,contrast,0.002375
CCT,Typicality,density,True,True,hue,0.984625
CCT,Typicality,density,True,True,multnoise,1.0
CCT,Typicality,density,True,True,noise,1.0
CCT,Typicality,density,True,True,saltpepper,1.0
CCT,Typicality,density,True,True,smear,0.00925
CCT,Typicality,ind_span,False,False,OoD Test,0.337
CCT,Typicality,ind_span,False,False,OoD Val,0.302
CCT,Typicality,ind_span,False,False,brightness,0.222
CCT,Typicality,ind_span,False,False,contrast,0.022
CCT,Typicality,ind_span,False,False,hue,0.019
CCT,Typicality,ind_span,False,False,multnoise,1.0
CCT,Typicality,ind_span,False,False,noise,1.0
CCT,Typicality,ind_span,False,False,saltpepper,1.0
CCT,Typicality,ind_span,False,False,smear,0.056
CCT,Typicality,ind_span,True,False,OoD Test,0.388
CCT,Typicality,ind_span,True,False,OoD Val,0.379
CCT,Typicality,ind_span,True,False,brightness,0.778
CCT,Typicality,ind_span,True,False,contrast,0.978
CCT,Typicality,ind_span,True,False,hue,0.029
CCT,Typicality,ind_span,True,False,multnoise,1.0
CCT,Typicality,ind_span,True,False,noise,1.0
CCT,Typicality,ind_span,True,False,saltpepper,1.0
CCT,Typicality,ind_span,True,False,smear,0.944
CCT,Typicality,ind_span,True,True,OoD Test,0.321625
CCT,Typicality,ind_span,True,True,OoD Val,0.3265
CCT,Typicality,ind_span,True,True,brightness,0.83525
CCT,Typicality,ind_span,True,True,contrast,0.98075
CCT,Typicality,ind_span,True,True,hue,0.0255
CCT,Typicality,ind_span,True,True,multnoise,1.0
CCT,Typicality,ind_span,True,True,noise,1.0
CCT,Typicality,ind_span,True,True,saltpepper,1.0
CCT,Typicality,ind_span,True,True,smear,0.943875
CCT,Typicality,val_optimal,False,False,OoD Test,0.226375
CCT,Typicality,val_optimal,False,False,OoD Val,0.21925
CCT,Typicality,val_optimal,False,False,brightness,0.20525
CCT,Typicality,val_optimal,False,False,contrast,0.192
CCT,Typicality,val_optimal,False,False,hue,0.188625
CCT,Typicality,val_optimal,False,False,multnoise,0.625
CCT,Typicality,val_optimal,False,False,noise,0.625
CCT,Typicality,val_optimal,False,False,saltpepper,0.625
CCT,Typicality,val_optimal,False,False,smear,0.21125
CCT,Typicality,val_optimal,True,False,OoD Test,0.303125
CCT,Typicality,val_optimal,True,False,OoD Val,0.3245
CCT,Typicality,val_optimal,True,False,brightness,0.79475
CCT,Typicality,val_optimal,True,False,contrast,0.808
CCT,Typicality,val_optimal,True,False,hue,0.196625
CCT,Typicality,val_optimal,True,False,multnoise,0.625
CCT,Typicality,val_optimal,True,False,noise,0.625
CCT,Typicality,val_optimal,True,False,saltpepper,0.625
CCT,Typicality,val_optimal,True,False,smear,0.78875
CCT,Typicality,val_optimal,True,True,OoD Test,0.316
CCT,Typicality,val_optimal,True,True,OoD Val,0.341625
CCT,Typicality,val_optimal,True,True,brightness,0.683125
CCT,Typicality,val_optimal,True,True,contrast,0.739875
CCT,Typicality,val_optimal,True,True,hue,0.244125
CCT,Typicality,val_optimal,True,True,multnoise,0.625
CCT,Typicality,val_optimal,True,True,noise,0.625
CCT,Typicality,val_optimal,True,True,saltpepper,0.625
CCT,Typicality,val_optimal,True,True,smear,0.700125
CCT,kNN,density,False,False,OoD Test,1.0
CCT,kNN,density,False,False,OoD Val,1.0
CCT,kNN,density,False,False,brightness,1.0
CCT,kNN,density,False,False,contrast,0.0
CCT,kNN,density,False,False,hue,0.999
CCT,kNN,density,False,False,multnoise,1.0
CCT,kNN,density,False,False,noise,1.0
CCT,kNN,density,False,False,saltpepper,1.0
CCT,kNN,density,False,False,smear,0.195
CCT,kNN,density,True,False,OoD Test,0.926
CCT,kNN,density,True,False,OoD Val,0.906
CCT,kNN,density,True,False,brightness,0.0
CCT,kNN,density,True,False,contrast,1.0
CCT,kNN,density,True,False,hue,0.992
CCT,kNN,density,True,False,multnoise,1.0
CCT,kNN,density,True,False,noise,1.0
CCT,kNN,density,True,False,saltpepper,1.0
CCT,kNN,density,True,False,smear,0.805
CCT,kNN,density,True,True,OoD Test,0.63925
CCT,kNN,density,True,True,OoD Val,0.6335
CCT,kNN,density,True,True,brightness,0.356625
CCT,kNN,density,True,True,contrast,1.0
CCT,kNN,density,True,True,hue,0.747625
CCT,kNN,density,True,True,multnoise,1.0
CCT,kNN,density,True,True,noise,1.0
CCT,kNN,density,True,True,saltpepper,1.0
CCT,kNN,density,True,True,smear,0.82775
CCT,kNN,ind_span,False,False,OoD Test,1.0
CCT,kNN,ind_span,False,False,OoD Val,1.0
CCT,kNN,ind_span,False,False,brightness,1.0
CCT,kNN,ind_span,False,False,contrast,0.003
CCT,kNN,ind_span,False,False,hue,1.0
CCT,kNN,ind_span,False,False,multnoise,1.0
CCT,kNN,ind_span,False,False,noise,1.0
CCT,kNN,ind_span,False,False,saltpepper,1.0
CCT,kNN,ind_span,False,False,smear,1.0
CCT,kNN,ind_span,True,False,OoD Test,0.926
CCT,kNN,ind_span,True,False,OoD Val,0.906
CCT,kNN,ind_span,True,False,brightness,0.0
CCT,kNN,ind_span,True,False,contrast,0.997
CCT,kNN,ind_span,True,False,hue,0.993
CCT,kNN,ind_span,True,False,multnoise,1.0
CCT,kNN,ind_span,True,False,noise,1.0
CCT,kNN,ind_span,True,False,saltpepper,1.0
CCT,kNN,ind_span,True,False,smear,0.0
CCT,kNN,ind_span,True,True,OoD Test,0.7775
CCT,kNN,ind_span,True,True,OoD Val,0.765625
CCT,kNN,ind_span,True,True,brightness,0.249875
CCT,kNN,ind_span,True,True,contrast,0.996625
CCT,kNN,ind_span,True,True,hue,0.898
CCT,kNN,ind_span,True,True,multnoise,1.0
CCT,kNN,ind_span,True,True,noise,1.0
CCT,kNN,ind_span,True,True,saltpepper,1.0
CCT,kNN,ind_span,True,True,smear,0.375
CCT,kNN,val_optimal,False,False,OoD Test,0.64075
CCT,kNN,val_optimal,False,False,OoD Val,0.64375
CCT,kNN,val_optimal,False,False,brightness,0.625
CCT,kNN,val_optimal,False,False,contrast,0.0
CCT,kNN,val_optimal,False,False,hue,0.789
CCT,kNN,val_optimal,False,False,multnoise,0.999875
CCT,kNN,val_optimal,False,False,noise,1.0
CCT,kNN,val_optimal,False,False,saltpepper,0.9995
CCT,kNN,val_optimal,False,False,smear,0.35775
CCT,kNN,val_optimal,True,False,OoD Test,0.61975
CCT,kNN,val_optimal,True,False,OoD Val,0.6175
CCT,kNN,val_optimal,True,False,brightness,0.375
CCT,kNN,val_optimal,True,False,contrast,1.0
CCT,kNN,val_optimal,True,False,hue,0.78525
CCT,kNN,val_optimal,True,False,multnoise,0.999875
CCT,kNN,val_optimal,True,False,noise,1.0
CCT,kNN,val_optimal,True,False,saltpepper,0.9995
CCT,kNN,val_optimal,True,False,smear,0.64225
CCT,kNN,val_optimal,True,True,OoD Test,0.6065
CCT,kNN,val_optimal,True,True,OoD Val,0.6015
CCT,kNN,val_optimal,True,True,brightness,0.25
CCT,kNN,val_optimal,True,True,contrast,0.751125
CCT,kNN,val_optimal,True,True,hue,0.62325
CCT,kNN,val_optimal,True,True,multnoise,0.625
CCT,kNN,val_optimal,True,True,noise,0.625
CCT,kNN,val_optimal,True,True,saltpepper,0.625
CCT,kNN,val_optimal,True,True,smear,0.251875
NICO,Energy,density,False,False,autumn,1.0
NICO,Energy,density,False,False,brightness,0.071
NICO,Energy,density,False,False,contrast,0.01
NICO,Energy,density,False,False,grass,1.0
NICO,Energy,density,False,False,hue,1.0
NICO,Energy,density,False,False,multnoise,0.089
NICO,Energy,density,False,False,noise,0.981
NICO,Energy,density,False,False,outdoor,1.0
NICO,Energy,density,False,False,rock,1.0
NICO,Energy,density,False,False,saltpepper,1.0
NICO,Energy,density,False,False,smear,0.017
NICO,Energy,density,False,False,water,1.0
NICO,Energy,density,True,False,autumn,1.0
NICO,Energy,density,True,False,brightness,0.791
NICO,Energy,density,True,False,contrast,0.953
NICO,Energy,density,True,False,grass,1.0
NICO,Energy,density,True,False,hue,1.0
NICO,Energy,density,True,False,multnoise,0.089
NICO,Energy,density,True,False,noise,0.981
NICO,Energy,density,True,False,outdoor,1.0
NICO,Energy,density,True,False,rock,1.0
NICO,Energy,density,True,False,saltpepper,1.0
NICO,Energy,density,True,False,smear,0.857
NICO,Energy,density,True,False,water,1.0
NICO,Energy,density,True,True,autumn,1.0
NICO,Energy,density,True,True,brightness,0.7968181818181819
NICO,Energy,density,True,True,contrast,0.9533636363636364
NICO,Energy,density,True,True,grass,1.0
NICO,Energy,density,True,True,hue,1.0
NICO,Energy,density,True,True,multnoise,0.0819090909090909
NICO,Energy,density,True,True,noise,0.972909090909091
NICO,Energy,density,True,True,outdoor,0.9998181818181818
NICO,Energy,density,True,True,rock,1.0
NICO,Energy,density,True,True,saltpepper,1.0
NICO,Energy,density,True,True,smear,0.858909090909091
NICO,Energy,density,True,True,water,1.0
NICO,Energy,ind_span,False,False,autumn,1.0
NICO,Energy,ind_span,False,False,brightness,0.168
NICO,Energy,ind_span,False,False,contrast,0.035
NICO,Energy,ind_span,False,False,grass,1.0
NICO,Energy,ind_span,False,False,hue,1.0
NICO,Energy,ind_span,False,False,multnoise,0.209
NICO,Energy,ind_span,False,False,noise,0.999
NICO,Energy,ind_span,False,False,outdoor,1.0
NICO,Energy,ind_span,False,False,rock,1.0
NICO,Energy,ind_span,False,False,saltpepper,1.0
NICO,Energy,ind_span,False,False,smear,0.042
NICO,Energy,ind_span,False,False,water,1.0
NICO,Energy,ind_span,True,False,autumn,1.0
NICO,Energy,ind_span,True,False,brightness,0.724
NICO,Energy,ind_span,True,False,contrast,0.93
NICO,Energy,ind_span,True,False,grass,1.0
NICO,Energy,ind_span,True,False,hue,1.0
NICO,Energy,ind_span,True,False,multnoise,0.209
