,tpr,tnr,rate,test_set,val_set,Tree,Risk Estimate,True Risk,Risk Error,E[f(x)=y],Accuracy,Accuracy Error,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc
1,0.5,0.5,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,1968.52415491408,1352.5,649.0759616747674,0.6069498626484204,0.7756333333333333,0.17744590383779416,0.527,0.506,0.5,0.9,0.30612244897959184,0.684640522875817
0,0.5,1.0,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,3181.6412441261264,662.325,2548.754618964382,0.5340089214773786,0.7827999999999999,0.4355637711157025,0.231,0.486,0.616273637374861,0.9,0.30612244897959184,0.684640522875817
1,0.5,1.0,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,1805.2938428250002,956.315,943.267800275,0.3472362288842975,0.7827999999999999,0.4355637711157025,0.231,0.486,0.60453,0.9,0.30612244897959184,0.684640522875817
0,1.0,0.0,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,1181.5,684.185,585.4054505005562,0.9,0.7712,0.7712,1.0,0.505,0.0,0.9,0.30612244897959184,0.684640522875817
1,1.0,0.0,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,6100.0,1955.0,4145.0,0.0,0.7712,0.7712,1.0,0.505,0.0505,0.9,0.30612244897959184,0.684640522875817
0,1.0,0.5,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,2375.6532408458374,689.65,1762.4254058364168,0.6814907153072575,0.7824333333333334,0.1854517723039216,0.739,0.497,0.36793659621802,0.9,0.30612244897959184,0.684640522875817
1,1.0,0.5,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,2299.7589649509805,1610.48,689.2789649509805,0.6058808061274509,0.7824333333333334,0.1854517723039216,0.739,0.497,0.381275,0.9,0.30612244897959184,0.684640522875817
0,1.0,1.0,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,2765.8582231958408,711.51,2148.1838028648613,0.6100899866064335,0.7796000000000001,0.19044889333333334,0.481,0.481,0.4881646273637375,0.9,0.30612244897959184,0.684640522875817
1,1.0,1.0,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,1590.7170836,1269.92,669.5567424,0.59832016,0.7796000000000001,0.19044889333333334,0.481,0.481,0.48936,0.9,0.30612244897959184,0.684640522875817
0,0.0,0.5,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,4427.04081632653,760.695,3740.1834237588246,0.30612244897959184,0.6840666666666666,0.5250666666666666,0.0,1.0,1.0,0.9,0.30612244897959184,0.684640522875817
1,0.0,0.5,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,3158.565,760.695,2533.17601,0.159,0.6840666666666666,0.5250666666666666,0.0,1.0,1.0,0.9,0.30612244897959184,0.684640522875817
0,0.0,1.0,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,4427.04081632653,793.485,3735.4691153435783,0.30612244897959184,0.6819333333333333,0.6819333333333333,0.0,1.0,1.0,0.9,0.30612244897959184,0.684640522875817
1,0.0,1.0,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1955.0,793.485,1401.925,0.0,0.6819333333333333,0.6819333333333333,0.0,1.0,1.0,0.9,0.30612244897959184,0.684640522875817
0,0.5,0.5,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,2804.270408163265,744.3,2191.824652107784,0.6030612244897959,0.6825666666666667,0.13408798264356248,0.482,1.0,0.5,0.9,0.30612244897959184,0.684640522875817
1,0.5,0.5,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,2097.7025129468916,1314.96,846.2849854048911,0.5619434451296729,0.6825666666666667,0.13408798264356248,0.482,1.0,0.5505,0.9,0.30612244897959184,0.684640522875817
0,0.5,1.0,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,3626.7929797847946,738.835,2982.804902669633,0.452553892079635,0.6810666666666666,0.36289030878205125,0.502,1.0,0.7534315906562848,0.9,0.30612244897959184,0.684640522875817
1,0.5,1.0,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1863.8197647374998,1352.29,687.0970031375,0.3181763578846154,0.6810666666666666,0.36289030878205125,0.502,1.0,0.778335,0.9,0.30612244897959184,0.684640522875817
0,1.0,0.0,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,1181.5,722.44,624.3109010011124,0.9,0.6839666666666667,0.6839666666666667,1.0,1.0,0.0,0.9,0.30612244897959184,0.684640522875817
1,1.0,0.0,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,6100.0,1955.0,4145.0,0.0,0.6839666666666667,0.6839666666666667,1.0,1.0,0.101,0.9,0.30612244897959184,0.684640522875817
0,1.0,0.5,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,2804.270408163265,722.44,2189.3186250028375,0.6030612244897959,0.681,0.193655691309987,1.0,1.0,0.5,0.9,0.30612244897959184,0.684640522875817
1,1.0,0.5,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,2751.0905301556418,1955.0,796.090530155642,0.4899032918287938,0.681,0.193655691309987,1.0,1.0,0.5505,0.9,0.30612244897959184,0.684640522875817
0,1.0,1.0,1.0,CVC-ClinicDB,EtisLaribDB,Base Tree,4427.04081632653,744.3,3744.897732174071,0.30612244897959184,0.6817666666666666,0.38776666666666665,1.0,1.0,1.0,0.9,0.30612244897959184,0.684640522875817
1,1.0,1.0,1.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1955.0,1955.0,0.0,0.294,0.6817666666666666,0.38776666666666665,1.0,1.0,1.0,0.9,0.30612244897959184,0.684640522875817
0,0.0,0.5,0.0,EndoCV2020,EtisLaribDB,Base Tree,3665.873045787837,635.0,3030.873045787837,0.4454029193434882,0.8683333333333334,0.48233658904290433,0.473,0.0,0.765472747497219,0.9,0.30612244897959184,0.7007874015748031
1,0.0,0.5,0.0,EndoCV2020,EtisLaribDB,Detector Tree,2216.1066580633665,1259.36,1191.3106580633666,0.39642512712871286,0.8683333333333334,0.48233658904290433,0.473,0.0,0.68816,0.9,0.30612244897959184,0.7007874015748031
0,0.0,1.0,0.0,EndoCV2020,EtisLaribDB,Base Tree,4427.04081632653,635.0,3792.04081632653,0.30612244897959184,0.8711666666666668,0.8711666666666668,0.0,0.0,1.0,0.9,0.30612244897959184,0.7007874015748031
1,0.0,1.0,0.0,EndoCV2020,EtisLaribDB,Detector Tree,1955.0,635.0,1320.0,0.0,0.8711666666666668,0.8711666666666668,0.0,0.0,0.899,0.9,0.30612244897959184,0.7007874015748031
0,0.5,0.5,0.0,EndoCV2020,EtisLaribDB,Base Tree,2804.270408163265,635.0,2169.270408163265,0.6030612244897959,0.8697666666666667,0.23982533486907115,0.499,0.0,0.5,0.9,0.30612244897959184,0.7007874015748031
1,0.5,0.5,0.0,EndoCV2020,EtisLaribDB,Detector Tree,1804.4557597476655,1293.68,670.9736926060584,0.6391116658549969,0.8697666666666667,0.23982533486907115,0.499,0.0,0.4495,0.9,0.30612244897959184,0.7007874015748031
0,0.5,1.0,0.0,EndoCV2020,EtisLaribDB,Base Tree,2804.270408163265,635.0,2169.270408163265,0.6030612244897959,0.8716666666666667,0.4885775553306343,0.0,0.0,0.5,0.9,0.30612244897959184,0.7007874015748031
1,0.5,1.0,0.0,EndoCV2020,EtisLaribDB,Detector Tree,1763.1535024999998,635.0,1128.1535024999998,0.38308911133603235,0.8716666666666667,0.4885775553306343,0.0,0.0,0.4495,0.9,0.30612244897959184,0.7007874015748031
0,1.0,0.0,0.0,EndoCV2020,EtisLaribDB,Base Tree,1181.5,635.0,546.5,0.9,0.8696666666666667,0.8696666666666667,1.0,0.0,0.0,0.9,0.30612244897959184,0.7007874015748031
1,1.0,0.0,0.0,EndoCV2020,EtisLaribDB,Detector Tree,6100.0,1955.0,4145.0,0.0,0.8696666666666667,0.8696666666666667,1.0,0.0,0.0,0.9,0.30612244897959184,0.7007874015748031
0,1.0,0.5,0.0,EndoCV2020,EtisLaribDB,Base Tree,2009.889094231686,635.0,1374.889094231686,0.7484191959319879,0.8674666666666667,0.15681820710765246,0.509,0.0,0.25523915461624025,0.9,0.30612244897959184,0.7007874015748031
1,1.0,0.5,0.0,EndoCV2020,EtisLaribDB,Detector Tree,1913.1922077821014,1306.88,682.5864319066148,0.7168407614396887,0.8674666666666667,0.15681820710765246,0.509,0.0,0.22946,0.9,0.30612244897959184,0.7007874015748031
0,1.0,1.0,0.0,EndoCV2020,EtisLaribDB,Base Tree,1181.5,635.0,546.5,0.9,0.87,0.04557999999999999,0.0,0.0,0.0,0.9,0.30612244897959184,0.7007874015748031
1,1.0,1.0,0.0,EndoCV2020,EtisLaribDB,Detector Tree,1208.8249999999998,635.0,573.8249999999998,0.895,0.87,0.04557999999999999,0.0,0.0,0.0,0.9,0.30612244897959184,0.7007874015748031
0,0.0,0.5,0.5,EndoCV2020,EtisLaribDB,Base Tree,4041.5471029034525,667.79,3399.0935331774535,0.3766610973644185,0.7903333333333333,0.5229867190378006,0.244,0.469,0.8812235817575084,0.9,0.30612244897959184,0.7007874015748031
1,0.0,0.5,0.5,EndoCV2020,EtisLaribDB,Detector Tree,2733.2655484247425,989.87,1799.2168570536085,0.2675706383505155,0.7903333333333333,0.5229867190378006,0.244,0.469,0.84272,0.9,0.30612244897959184,0.7007874015748031
0,0.0,1.0,0.5,EndoCV2020,EtisLaribDB,Base Tree,4427.04081632653,662.325,3784.9693537036615,0.30612244897959184,0.7891666666666667,0.7891666666666667,0.0,0.492,1.0,0.9,0.30612244897959184,0.7007874015748031
1,0.0,1.0,0.5,EndoCV2020,EtisLaribDB,Detector Tree,1955.0,662.325,1334.125,0.0,0.7891666666666667,0.7891666666666667,0.0,0.492,0.9495,0.9,0.30612244897959184,0.7007874015748031
0,0.5,0.5,0.5,EndoCV2020,EtisLaribDB,Base Tree,2804.270408163265,667.79,2176.7884894781046,0.6030612244897959,0.7856666666666666,0.19474737592441263,0.499,0.495,0.5,0.9,0.30612244897959184,0.7007874015748031
1,0.5,0.5,0.5,EndoCV2020,EtisLaribDB,Detector Tree,1953.6021101170754,1304.61,666.9727957797658,0.5946456970515015,0.7856666666666666,0.19474737592441263,0.499,0.495,0.5,0.9,0.30612244897959184,0.7007874015748031
0,0.5,1.0,0.5,EndoCV2020,EtisLaribDB,Base Tree,3200.341913123425,673.255,2567.759112732969,0.5305870241311208,0.7826666666666666,0.42454480341463413,0.242,0.51,0.622035595105673,0.9,0.30612244897959184,0.7007874015748031
1,0.5,1.0,0.5,EndoCV2020,EtisLaribDB,Detector Tree,1795.5236031,981.765,933.1387023,0.35812186325203255,0.7826666666666666,0.42454480341463413,0.242,0.51,0.6097100000000001,0.9,0.30612244897959184,0.7007874015748031
0,1.0,0.0,0.5,EndoCV2020,EtisLaribDB,Base Tree,1181.5,656.86,561.0895439377085,0.9,0.7870333333333333,0.7870333333333333,1.0,0.495,0.0,0.9,0.30612244897959184,0.7007874015748031
1,1.0,0.0,0.5,EndoCV2020,EtisLaribDB,Detector Tree,6100.0,1955.0,4145.0,0.0,0.7870333333333333,0.7870333333333333,1.0,0.495,0.0505,0.9,0.30612244897959184,0.7007874015748031
0,1.0,0.5,0.5,EndoCV2020,EtisLaribDB,Base Tree,2405.996700869447,667.79,1784.0383388572336,0.6759383895938799,0.7845,0.19619314651102465,0.753,0.506,0.37728587319243606,0.9,0.30612244897959184,0.7007874015748031
1,1.0,0.5,0.5,EndoCV2020,EtisLaribDB,Detector Tree,2372.2919743190664,1628.96,743.3319743190663,0.5943375682490272,0.7845,0.19619314651102465,0.753,0.506,0.38968,0.9,0.30612244897959184,0.7007874015748031
0,1.0,1.0,0.5,EndoCV2020,EtisLaribDB,Base Tree,2800.0465118839525,662.325,2171.528189711925,0.6038341240834487,0.7837333333333334,0.18523854666666667,0.5,0.5,0.498698553948832,0.9,0.30612244897959184,0.7007874015748031
1,1.0,1.0,0.5,EndoCV2020,EtisLaribDB,Detector Tree,1542.6949585500001,1295.0,657.17819045,0.60371604,0.7837333333333334,0.18523854666666667,0.5,0.5,0.49883,0.9,0.30612244897959184,0.7007874015748031
0,0.0,0.5,1.0,EndoCV2020,EtisLaribDB,Base Tree,4427.04081632653,706.045,3761.3978116274316,0.30612244897959184,0.7019333333333333,0.5399333333333333,0.0,1.0,1.0,0.9,0.30612244897959184,0.7007874015748031
1,0.0,0.5,1.0,EndoCV2020,EtisLaribDB,Detector Tree,3142.1699999999996,706.045,2513.0285799999997,0.162,0.7019333333333333,0.5399333333333333,0.0,1.0,1.0,0.9,0.30612244897959184,0.7007874015748031
0,0.0,1.0,1.0,EndoCV2020,EtisLaribDB,Base Tree,4427.04081632653,788.02,3740.1834237588246,0.30612244897959184,0.6968666666666666,0.6968666666666666,0.0,1.0,1.0,0.9,0.30612244897959184,0.7007874015748031
1,0.0,1.0,1.0,EndoCV2020,EtisLaribDB,Detector Tree,1955.0,788.02,1399.1,0.0,0.6968666666666666,0.6968666666666666,0.0,1.0,1.0,0.9,0.30612244897959184,0.7007874015748031
0,0.5,0.5,1.0,EndoCV2020,EtisLaribDB,Base Tree,2804.270408163265,760.695,2194.3306792127305,0.6030612244897959,0.6946333333333333,0.13762205731124222,0.514,1.0,0.5,0.9,0.30612244897959184,0.7007874015748031
1,0.5,0.5,1.0,EndoCV2020,EtisLaribDB,Detector Tree,2069.187383386465,1379.06,790.786136978557,0.5673763568495539,0.6946333333333333,0.13762205731124222,0.514,1.0,0.5505,0.9,0.30612244897959184,0.7007874015748031
0,0.5,1.0,1.0,EndoCV2020,EtisLaribDB,Base Tree,3601.48570378652,722.44,2958.6123124900682,0.4571846836621189,0.705,0.35586836582618026,0.499,1.0,0.7456340378197999,0.9,0.30612244897959184,0.7007874015748031
1,0.5,1.0,1.0,EndoCV2020,EtisLaribDB,Detector Tree,1859.6865449375,1337.4,682.2506859625,0.34913163417381976,0.705,0.35586836582618026,0.499,1.0,0.771325,0.9,0.30612244897959184,0.7007874015748031
0,1.0,0.0,1.0,EndoCV2020,EtisLaribDB,Base Tree,1181.5,695.115,599.9949944382647,0.9,0.7057666666666667,0.7057666666666667,1.0,1.0,0.0,0.9,0.30612244897959184,0.7007874015748031
1,1.0,0.0,1.0,EndoCV2020,EtisLaribDB,Detector Tree,6100.0,1955.0,4145.0,0.0,0.7057666666666667,0.7057666666666667,1.0,1.0,0.101,0.9,0.30612244897959184,0.7007874015748031
0,1.0,0.5,1.0,EndoCV2020,EtisLaribDB,Base Tree,2804.270408163265,755.23,2191.824652107784,0.6030612244897959,0.6978666666666666,0.20739983333333334,1.0,1.0,0.5,0.9,0.30612244897959184,0.7007874015748031
1,1.0,0.5,1.0,EndoCV2020,EtisLaribDB,Detector Tree,2723.6578250000002,1955.0,768.6578250000002,0.49217049999999996,0.6978666666666666,0.20739983333333334,1.0,1.0,0.5505,0.9,0.30612244897959184,0.7007874015748031
0,1.0,1.0,1.0,EndoCV2020,EtisLaribDB,Base Tree,4427.04081632653,700.58,3763.7549658350545,0.30612244897959184,0.6992333333333334,0.3872333333333334,1.0,1.0,1.0,0.9,0.30612244897959184,0.7007874015748031
1,1.0,1.0,1.0,EndoCV2020,EtisLaribDB,Detector Tree,1955.0,1955.0,0.0,0.312,0.6992333333333334,0.3872333333333334,1.0,1.0,1.0,0.9,0.30612244897959184,0.7007874015748031
