tpr,tnr,ba,tl,rate,rate_estimate,error
0.04,1.0,0.52,20,0.88,0.001472,0.878528
0.04,1.0,0.52,20,0.92,0.001328,0.918672
0.04,1.0,0.52,20,0.96,0.001496,0.958504
0.04,1.0,0.52,20,1.0,0.0016,0.9984
0.04,1.0,0.52,30,0.0,0.0,0.0
0.04,1.0,0.52,30,0.04,5.605605605605605e-05,0.039943943943943946
0.04,1.0,0.52,30,0.08,0.00014014014014014013,0.07985985985985986
0.04,1.0,0.52,30,0.12,0.00018418418418418418,0.11981581581581581
0.04,1.0,0.52,30,0.16,0.0002761471148567923,0.1597238528851432
0.04,1.0,0.52,30,0.2,0.0003163163163163163,0.1996836836836837
0.04,1.0,0.52,30,0.24,0.0003280700054893603,0.23967192999451065
0.04,1.0,0.52,30,0.28,0.0004639478187865284,0.27953605218121347
0.04,1.0,0.52,30,0.32,0.0004923633310730085,0.319507636668927
0.04,1.0,0.52,30,0.36,0.0005198747134231006,0.3594801252865769
0.04,1.0,0.52,30,0.4,0.0004799638348025445,0.3995200361651975
0.04,1.0,0.52,30,0.44,0.0007323452484742807,0.43926765475152574
0.04,1.0,0.52,30,0.48,0.0008119086828764248,0.4791880913171236
0.04,1.0,0.52,30,0.52,0.0008284413445703769,0.5191715586554296
0.04,1.0,0.52,30,0.56,0.0008839807549484969,0.5591160192450516
0.04,1.0,0.52,30,0.6,0.000975814524201621,0.5990241854757984
0.04,1.0,0.52,30,0.64,0.0010436242694307212,0.6389563757305693
0.04,1.0,0.52,30,0.68,0.001052407245955633,0.6789475927540444
0.04,1.0,0.52,30,0.72,0.0011277083535148052,0.7188722916464853
0.04,1.0,0.52,30,0.76,0.001192289063256805,0.7588077109367433
0.04,1.0,0.52,30,0.8,0.0013445703768284413,0.7986554296231717
0.04,1.0,0.52,30,0.84,0.0011964222286802932,0.8388035777713196
0.04,1.0,0.52,30,0.88,0.0014440246698311215,0.8785559753301689
0.04,1.0,0.52,30,0.92,0.0015319835964997253,0.9184680164035004
0.04,1.0,0.52,30,0.96,0.0014600406858471375,0.9585399593141528
0.04,1.0,0.52,30,1.0,0.0015712486680228616,0.9984287513319772
0.04,1.0,0.52,50,0.0,0.0,0.0
0.04,1.0,0.52,50,0.04,7.2e-05,0.039928
0.04,1.0,0.52,50,0.08,0.000112,0.079888
0.04,1.0,0.52,50,0.12,0.000184,0.119816
0.04,1.0,0.52,50,0.16,0.000228,0.159772
0.04,1.0,0.52,50,0.2,0.00037200000000000004,0.19962800000000003
0.04,1.0,0.52,50,0.24,0.000444,0.239556
0.04,1.0,0.52,50,0.28,0.000468,0.279532
0.04,1.0,0.52,50,0.32,0.00046400000000000006,0.31953600000000004
0.04,1.0,0.52,50,0.36,0.000484,0.359516
0.04,1.0,0.52,50,0.4,0.00068,0.39932
0.04,1.0,0.52,50,0.44,0.000736,0.439264
0.04,1.0,0.52,50,0.48,0.000732,0.479268
0.04,1.0,0.52,50,0.52,0.000896,0.519104
0.04,1.0,0.52,50,0.56,0.000836,0.559164
0.04,1.0,0.52,50,0.6,0.0009760000000000001,0.5990239999999999
0.04,1.0,0.52,50,0.64,0.00102,0.63898
0.04,1.0,0.52,50,0.68,0.00104,0.67896
0.04,1.0,0.52,50,0.72,0.001164,0.718836
0.04,1.0,0.52,50,0.76,0.0013039999999999998,0.758696
0.04,1.0,0.52,50,0.8,0.001348,0.798652
0.04,1.0,0.52,50,0.84,0.0012280000000000001,0.8387720000000001
0.04,1.0,0.52,50,0.88,0.0015160000000000002,0.8784839999999999
0.04,1.0,0.52,50,0.92,0.001328,0.9186719999999999
0.04,1.0,0.52,50,0.96,0.0015240000000000002,0.958476
0.04,1.0,0.52,50,1.0,0.001472,0.998528
0.04,1.0,0.52,60,0.0,0.0,0.0
0.04,1.0,0.52,60,0.04,4.397919547040621e-05,0.0399560208045296
0.04,1.0,0.52,60,0.08,0.00013615116202514977,0.07986384883797486
0.04,1.0,0.52,60,0.12,0.00017980117190071761,0.11982019882809927
0.04,1.0,0.52,60,0.16,0.00029225097109750474,0.1597077490289025
0.04,1.0,0.52,60,0.2,0.00033623016656791096,0.19966376983343212
0.04,1.0,0.52,60,0.24,0.00040417407334255055,0.23959582592665743
0.04,1.0,0.52,60,0.28,0.0004401211402989005,0.2795598788597011
0.04,1.0,0.52,60,0.32,0.00044835078016985973,0.31955164921983015
0.04,1.0,0.52,60,0.36,0.0005638949239581276,0.35943610507604185
0.04,1.0,0.52,60,0.4,0.0007433669102640068,0.39925663308973597
0.04,1.0,0.52,60,0.44,0.0006402001448416617,0.4393597998551584
0.04,1.0,0.52,60,0.48,0.0007643689512146949,0.4792356310487853
0.04,1.0,0.52,60,0.52,0.0007962341167950492,0.5192037658832049
0.04,1.0,0.52,60,0.56,0.001,0.559
0.04,1.0,0.52,60,0.6,0.0009386398051221279,0.5990613601948779
0.04,1.0,0.52,60,0.64,0.0008756995193890315,0.639124300480611
0.04,1.0,0.52,60,0.68,0.0011038251366120217,0.678896174863388
0.04,1.0,0.52,60,0.72,0.0013040358153927185,0.7186959641846072
0.04,1.0,0.52,60,0.76,0.0011244979919678715,0.7588755020080321
0.04,1.0,0.52,60,0.8,0.0012604516426361183,0.7987395483573639
0.04,1.0,0.52,60,0.84,0.0013996971492527487,0.8386003028507472
0.04,1.0,0.52,60,0.88,0.001424056883270788,0.8785759431167293
0.04,1.0,0.52,60,0.92,0.0014730396997827376,0.9185269603002173
0.04,1.0,0.52,60,0.96,0.0013726380933570346,0.958627361906643
0.04,1.0,0.52,60,1.0,0.0016159720850615574,0.9983840279149385
0.04,1.0,0.52,100,0.0,0.0,0.0
0.04,1.0,0.52,100,0.04,9.999999999999999e-05,0.039900000000000005
0.04,1.0,0.52,100,0.08,0.00010800000000000001,0.079892
0.04,1.0,0.52,100,0.12,0.000168,0.119832
0.04,1.0,0.52,100,0.16,0.000288,0.159712
0.04,1.0,0.52,100,0.2,0.000332,0.19966799999999998
0.04,1.0,0.52,100,0.24,0.00033999999999999997,0.23965999999999998
0.04,1.0,0.52,100,0.28,0.000444,0.279556
0.04,1.0,0.52,100,0.32,0.000552,0.319448
0.04,1.0,0.52,100,0.36,0.000472,0.35952799999999996
0.04,1.0,0.52,100,0.4,0.000696,0.399304
0.04,1.0,0.52,100,0.44,0.0007239999999999999,0.439276
0.04,1.0,0.52,100,0.48,0.0007639999999999999,0.479236
0.04,1.0,0.52,100,0.52,0.000804,0.519196
0.04,1.0,0.52,100,0.56,0.001032,0.558968
0.04,1.0,0.52,100,0.6,0.000964,0.599036
0.04,1.0,0.52,100,0.64,0.0009239999999999999,0.639076
0.04,1.0,0.52,100,0.68,0.001148,0.6788520000000001
0.04,1.0,0.52,100,0.72,0.001172,0.718828
0.04,1.0,0.52,100,0.76,0.001172,0.7588280000000001
0.04,1.0,0.52,100,0.8,0.0012839999999999998,0.798716
0.04,1.0,0.52,100,0.84,0.001424,0.8385759999999999
0.04,1.0,0.52,100,0.88,0.0012840000000000002,0.878716
0.04,1.0,0.52,100,0.92,0.001452,0.9185479999999999
0.04,1.0,0.52,100,0.96,0.001548,0.9584519999999999
0.04,1.0,0.52,100,1.0,0.00168,0.99832
0.04,1.0,0.52,200,0.0,0.0,0.0
0.04,1.0,0.52,200,0.04,8e-05,0.03992
0.04,1.0,0.52,200,0.08,0.000152,0.079848
0.04,1.0,0.52,200,0.12,0.0002,0.11979999999999999
0.04,1.0,0.52,200,0.16,0.00021600000000000002,0.159784
0.04,1.0,0.52,200,0.2,0.00028,0.19972
0.04,1.0,0.52,200,0.24,0.000416,0.23958399999999996
0.04,1.0,0.52,200,0.28,0.000504,0.279496
0.04,1.0,0.52,200,0.32,0.000504,0.319496
0.04,1.0,0.52,200,0.36,0.000572,0.35942799999999997
0.04,1.0,0.52,200,0.4,0.000572,0.39942800000000006
0.04,1.0,0.52,200,0.44,0.000784,0.439216
0.04,1.0,0.52,200,0.48,0.000776,0.479224
0.04,1.0,0.52,200,0.52,0.00086,0.51914
0.04,1.0,0.52,200,0.56,0.0008399999999999999,0.55916
0.04,1.0,0.52,200,0.6,0.000968,0.599032
0.04,1.0,0.52,200,0.64,0.001036,0.638964
0.04,1.0,0.52,200,0.68,0.001112,0.678888
0.04,1.0,0.52,200,0.72,0.001232,0.7187680000000001
0.04,1.0,0.52,200,0.76,0.001196,0.7588039999999999
0.04,1.0,0.52,200,0.8,0.001216,0.7987839999999999
0.04,1.0,0.52,200,0.84,0.001308,0.8386919999999999
0.04,1.0,0.52,200,0.88,0.00136,0.8786400000000001
0.04,1.0,0.52,200,0.92,0.001428,0.918572
0.04,1.0,0.52,200,0.96,0.001548,0.9584519999999999
0.04,1.0,0.52,200,1.0,0.0017399999999999998,0.9982599999999999
0.04,1.0,0.52,500,0.0,0.0,0.0
0.04,1.0,0.52,500,0.04,8.8e-05,0.039912
0.04,1.0,0.52,500,0.08,0.000128,0.079872
0.04,1.0,0.52,500,0.12,0.0002,0.11979999999999999
0.04,1.0,0.52,500,0.16,0.00022399999999999997,0.159776
0.04,1.0,0.52,500,0.2,0.000356,0.19964400000000002
0.04,1.0,0.52,500,0.24,0.00040800000000000005,0.23959199999999997
0.04,1.0,0.52,500,0.28,0.00041999999999999996,0.27958000000000005
0.04,1.0,0.52,500,0.32,0.0005120000000000001,0.319488
0.04,1.0,0.52,500,0.36,0.00062,0.35938
0.04,1.0,0.52,500,0.4,0.0006000000000000001,0.39940000000000003
0.04,1.0,0.52,500,0.44,0.000588,0.439412
0.04,1.0,0.52,500,0.48,0.0007199999999999999,0.47928
0.04,1.0,0.52,500,0.52,0.0008880000000000001,0.519112
0.04,1.0,0.52,500,0.56,0.0009119999999999999,0.559088
0.04,1.0,0.52,500,0.6,0.000904,0.5990960000000001
0.04,1.0,0.52,500,0.64,0.000976,0.639024
0.04,1.0,0.52,500,0.68,0.0010840000000000001,0.6789160000000001
0.04,1.0,0.52,500,0.72,0.001068,0.7189319999999999
0.04,1.0,0.52,500,0.76,0.001152,0.758848
0.04,1.0,0.52,500,0.8,0.001316,0.7986840000000001
0.04,1.0,0.52,500,0.84,0.0013720000000000002,0.8386279999999999
0.04,1.0,0.52,500,0.88,0.001264,0.878736
0.04,1.0,0.52,500,0.92,0.0015439999999999998,0.9184560000000002
0.04,1.0,0.52,500,0.96,0.001576,0.9584239999999999
0.04,1.0,0.52,500,1.0,0.0015799999999999998,0.99842
0.04,1.0,0.52,1000,0.0,0.0,0.0
0.04,1.0,0.52,1000,0.04,9.599999999999999e-05,0.039904
0.04,1.0,0.52,1000,0.08,0.00012399999999999998,0.079876
0.04,1.0,0.52,1000,0.12,0.000184,0.11981599999999999
0.04,1.0,0.52,1000,0.16,0.00022,0.15978
0.04,1.0,0.52,1000,0.2,0.000344,0.199656
0.04,1.0,0.52,1000,0.24,0.000392,0.239608
0.04,1.0,0.52,1000,0.28,0.000404,0.279596
0.04,1.0,0.52,1000,0.32,0.00044799999999999994,0.319552
0.04,1.0,0.52,1000,0.36,0.0006240000000000001,0.359376
0.04,1.0,0.52,1000,0.4,0.000612,0.399388
0.04,1.0,0.52,1000,0.44,0.0006200000000000001,0.43938
0.04,1.0,0.52,1000,0.48,0.0008680000000000001,0.479132
0.04,1.0,0.52,1000,0.52,0.0009400000000000001,0.51906
0.04,1.0,0.52,1000,0.56,0.0008439999999999999,0.559156
0.04,1.0,0.52,1000,0.6,0.001,0.599
0.04,1.0,0.52,1000,0.64,0.0010240000000000002,0.638976
0.04,1.0,0.52,1000,0.68,0.0010919999999999999,0.6789080000000001
0.04,1.0,0.52,1000,0.72,0.00116,0.7188399999999999
0.04,1.0,0.52,1000,0.76,0.00122,0.75878
0.04,1.0,0.52,1000,0.8,0.00126,0.7987400000000001
0.04,1.0,0.52,1000,0.84,0.001396,0.8386039999999999
0.04,1.0,0.52,1000,0.88,0.0015,0.8785000000000001
0.04,1.0,0.52,1000,0.92,0.001492,0.9185080000000001
0.04,1.0,0.52,1000,0.96,0.001464,0.9585359999999999
0.04,1.0,0.52,1000,1.0,0.001516,0.998484
0.08,0.96,0.52,10,0.0,0.041568000000000035,0.041568000000000035
0.08,0.96,0.52,10,0.04,0.04177200000000003,0.0017720000000000307
0.08,0.96,0.52,10,0.08,0.04180000000000003,0.03819999999999997
0.08,0.96,0.52,10,0.12,0.04173600000000003,0.07826399999999996
0.08,0.96,0.52,10,0.16,0.04180000000000003,0.11819999999999997
0.08,0.96,0.52,10,0.2,0.04181200000000003,0.158188
0.08,0.96,0.52,10,0.24,0.04209200000000003,0.19790799999999995
0.08,0.96,0.52,10,0.28,0.041976000000000034,0.238024
0.08,0.96,0.52,10,0.32,0.04216000000000003,0.27784
0.08,0.96,0.52,10,0.36,0.04228400000000004,0.31771599999999994
0.08,0.96,0.52,10,0.4,0.04223200000000003,0.357768
0.08,0.96,0.52,10,0.44,0.04209200000000003,0.397908
0.08,0.96,0.52,10,0.48,0.04238800000000004,0.43761199999999995
0.08,0.96,0.52,10,0.52,0.042504000000000035,0.477496
0.08,0.96,0.52,10,0.56,0.04254800000000003,0.517452
0.08,0.96,0.52,10,0.6,0.042532000000000035,0.557468
0.08,0.96,0.52,10,0.64,0.04257200000000003,0.597428
0.08,0.96,0.52,10,0.68,0.042464000000000036,0.6375360000000001
0.08,0.96,0.52,10,0.72,0.042608000000000035,0.677392
0.08,0.96,0.52,10,0.76,0.042684000000000034,0.717316
0.08,0.96,0.52,10,0.8,0.042892000000000034,0.7571080000000001
0.08,0.96,0.52,10,0.84,0.042872000000000035,0.797128
0.08,0.96,0.52,10,0.88,0.04286000000000004,0.83714
0.08,0.96,0.52,10,0.92,0.043052000000000035,0.876948
0.08,0.96,0.52,10,0.96,0.04311200000000003,0.9168879999999999
0.08,0.96,0.52,10,1.0,0.04316400000000003,0.956836
0.08,0.96,0.52,20,0.0,0.04135600000000003,0.04135600000000003
0.08,0.96,0.52,20,0.04,0.04179600000000003,0.0017960000000000274
0.08,0.96,0.52,20,0.08,0.041772000000000024,0.03822799999999997
0.08,0.96,0.52,20,0.12,0.04173600000000002,0.07826399999999997
0.08,0.96,0.52,20,0.16,0.041952000000000024,0.11804799999999997
0.08,0.96,0.52,20,0.2,0.04184000000000003,0.15815999999999997
0.08,0.96,0.52,20,0.24,0.04189600000000003,0.19810399999999995
0.08,0.96,0.52,20,0.28,0.041848000000000024,0.23815199999999997
0.08,0.96,0.52,20,0.32,0.04200400000000003,0.27799599999999997
0.08,0.96,0.52,20,0.36,0.04225600000000003,0.31774399999999997
0.08,0.96,0.52,20,0.4,0.04218800000000003,0.357812
0.08,0.96,0.52,20,0.44,0.042196000000000025,0.397804
0.08,0.96,0.52,20,0.48,0.04226000000000003,0.43773999999999996
0.08,0.96,0.52,20,0.52,0.04245600000000002,0.47754399999999997
0.08,0.96,0.52,20,0.56,0.04225600000000003,0.517744
0.08,0.96,0.52,20,0.6,0.04269200000000003,0.557308
0.08,0.96,0.52,20,0.64,0.04267200000000002,0.597328
0.08,0.96,0.52,20,0.68,0.04278400000000003,0.637216
0.08,0.96,0.52,20,0.72,0.04262800000000003,0.677372
0.08,0.96,0.52,20,0.76,0.04260800000000003,0.7173919999999999
0.08,0.96,0.52,20,0.8,0.04294000000000003,0.7570600000000001
0.08,0.96,0.52,20,0.84,0.043020000000000023,0.7969799999999999
0.08,0.96,0.52,20,0.88,0.042988000000000026,0.837012
0.08,0.96,0.52,20,0.92,0.04310000000000003,0.8769
0.08,0.96,0.52,20,0.96,0.04288800000000002,0.9171119999999999
0.08,0.96,0.52,20,1.0,0.04300000000000003,0.957
0.08,0.96,0.52,30,0.0,0.04148393554845171,0.04148393554845171
0.08,0.96,0.52,30,0.04,0.04160379734573286,0.001603797345732856
0.08,0.96,0.52,30,0.08,0.04167561109496596,0.03832438890503404
0.08,0.96,0.52,30,0.12,0.04186392844457363,0.07813607155542636
0.08,0.96,0.52,30,0.16,0.041807484904259125,0.11819251509574087
0.08,0.96,0.52,30,0.2,0.041943491878975774,0.15805650812102423
0.08,0.96,0.52,30,0.24,0.041797281152119885,0.1982027188478801
0.08,0.96,0.52,30,0.28,0.04218812360747847,0.23781187639252155
0.08,0.96,0.52,30,0.32,0.04221253511576095,0.27778746488423905
0.08,0.96,0.52,30,0.36,0.0422598081952921,0.3177401918047079
0.08,0.96,0.52,30,0.4,0.04218450708773292,0.3578154929122671
0.08,0.96,0.52,30,0.44,0.04226394136071558,0.39773605863928446
0.08,0.96,0.52,30,0.48,0.04252019761697184,0.4374798023830282
0.08,0.96,0.52,30,0.52,0.042431851206044785,0.47756814879395526
0.08,0.96,0.52,30,0.56,0.04260841486647941,0.5173915851335207
0.08,0.96,0.52,30,0.6,0.04264470922535441,0.5573552907746455
0.08,0.96,0.52,30,0.64,0.0425964028544674,0.5974035971455326
0.08,0.96,0.52,30,0.68,0.04266330846976011,0.63733669153024
0.08,0.96,0.52,30,0.72,0.04272853498659953,0.6772714650134004
0.08,0.96,0.52,30,0.76,0.042636313733087954,0.717363686266912
0.08,0.96,0.52,30,0.8,0.0430169524363073,0.7569830475636927
0.08,0.96,0.52,30,0.84,0.04292796021828283,0.7970720397817173
0.08,0.96,0.52,30,0.88,0.04301101101101104,0.836988988988989
0.08,0.96,0.52,30,0.92,0.04294888436823923,0.8770511156317609
0.08,0.96,0.52,30,0.96,0.043068617004100904,0.9169313829958989
0.08,0.96,0.52,30,1.0,0.04316006328909557,0.9568399367109045
0.08,0.96,0.52,50,0.0,0.04152800000000004,0.04152800000000004
0.08,0.96,0.52,50,0.04,0.04170400000000003,0.0017040000000000356
0.08,0.96,0.52,50,0.08,0.04190400000000004,0.03809599999999996
0.08,0.96,0.52,50,0.12,0.04178000000000003,0.07821999999999997
0.08,0.96,0.52,50,0.16,0.04182400000000004,0.11817599999999998
0.08,0.96,0.52,50,0.2,0.041908000000000036,0.15809199999999998
0.08,0.96,0.52,50,0.24,0.04198000000000004,0.19801999999999997
0.08,0.96,0.52,50,0.28,0.042012000000000035,0.237988
0.08,0.96,0.52,50,0.32,0.042024000000000034,0.27797599999999995
0.08,0.96,0.52,50,0.36,0.042032000000000035,0.3179679999999999
0.08,0.96,0.52,50,0.4,0.04227200000000003,0.357728
0.08,0.96,0.52,50,0.44,0.04210400000000004,0.397896
0.08,0.96,0.52,50,0.48,0.04229600000000003,0.4377039999999999
0.08,0.96,0.52,50,0.52,0.04250000000000004,0.4775
0.08,0.96,0.52,50,0.56,0.04261200000000003,0.5173880000000001
0.08,0.96,0.52,50,0.6,0.04246000000000003,0.5575399999999999
0.08,0.96,0.52,50,0.64,0.04265200000000004,0.597348
0.08,0.96,0.52,50,0.68,0.04268800000000003,0.637312
0.08,0.96,0.52,50,0.72,0.04278400000000003,0.6772159999999999
0.08,0.96,0.52,50,0.76,0.042928000000000036,0.717072
0.08,0.96,0.52,50,0.8,0.042864000000000034,0.757136
0.08,0.96,0.52,50,0.84,0.043004000000000035,0.7969959999999999
0.08,0.96,0.52,50,0.88,0.04298800000000003,0.837012
0.08,0.96,0.52,50,0.92,0.04312400000000004,0.876876
0.08,0.96,0.52,50,0.96,0.04320400000000004,0.9167959999999999
0.08,0.96,0.52,50,1.0,0.043176000000000034,0.956824
0.08,0.96,0.52,60,0.0,0.04166363815919419,0.04166363815919419
0.08,0.96,0.52,60,0.04,0.041707683191783564,0.0017076831917835623
0.08,0.96,0.52,60,0.08,0.04171525446046485,0.038284745539535155
0.08,0.96,0.52,60,0.12,0.041935479623411716,0.07806452037658829
0.08,0.96,0.52,60,0.16,0.04182355652116667,0.11817644347883334
0.08,0.96,0.52,60,0.2,0.041839884126670654,0.15816011587332937
0.08,0.96,0.52,60,0.24,0.042067614721179834,0.19793238527882015
0.08,0.96,0.52,60,0.28,0.04219566791757196,0.23780433208242804
0.08,0.96,0.52,60,0.32,0.04195318980841402,0.278046810191586
0.08,0.96,0.52,60,0.36,0.042016920139574726,0.3179830798604253
0.08,0.96,0.52,60,0.4,0.04230831522812565,0.3576916847718744
0.08,0.96,0.52,60,0.44,0.04238409375205744,0.3976159062479425
0.08,0.96,0.52,60,0.48,0.0424964118770163,0.43750358812298373
0.08,0.96,0.52,60,0.52,0.04255592863256307,0.47744407136743694
0.08,0.96,0.52,60,0.56,0.04242017249325174,0.5175798275067482
0.08,0.96,0.52,60,0.6,0.042445256435578414,0.5575547435644215
0.08,0.96,0.52,60,0.64,0.042699980248864344,0.5973000197511357
0.08,0.96,0.52,60,0.68,0.042847916255184706,0.6371520837448154
0.08,0.96,0.52,60,0.72,0.04276660741325963,0.6772333925867403
0.08,0.96,0.52,60,0.76,0.04275962867864906,0.717240371321351
0.08,0.96,0.52,60,0.8,0.04296444795575749,0.7570355520442426
0.08,0.96,0.52,60,0.84,0.0430518138126276,0.7969481861873723
0.08,0.96,0.52,60,0.88,0.04303179932846142,0.8369682006715385
0.08,0.96,0.52,60,0.92,0.0429562841530055,0.8770437158469946
0.08,0.96,0.52,60,0.96,0.043272894858121046,0.9167271051418788
0.08,0.96,0.52,60,1.0,0.043353281980380576,0.9566467180196194
0.08,0.96,0.52,100,0.0,0.04165600000000004,0.04165600000000004
0.08,0.96,0.52,100,0.04,0.04163600000000004,0.0016360000000000385
0.08,0.96,0.52,100,0.08,0.041784000000000036,0.03821599999999996
0.08,0.96,0.52,100,0.12,0.04181600000000004,0.07818399999999996
0.08,0.96,0.52,100,0.16,0.04180400000000004,0.11819599999999995
0.08,0.96,0.52,100,0.2,0.041844000000000034,0.15815599999999996
0.08,0.96,0.52,100,0.24,0.04183600000000004,0.19816399999999995
0.08,0.96,0.52,100,0.28,0.04230000000000004,0.2377
0.08,0.96,0.52,100,0.32,0.042172000000000036,0.27782799999999996
0.08,0.96,0.52,100,0.36,0.04218400000000004,0.31781599999999993
0.08,0.96,0.52,100,0.4,0.042248000000000036,0.35775199999999996
0.08,0.96,0.52,100,0.44,0.042420000000000034,0.39757999999999993
0.08,0.96,0.52,100,0.48,0.042344000000000034,0.43765599999999993
0.08,0.96,0.52,100,0.52,0.04246800000000004,0.477532
0.08,0.96,0.52,100,0.56,0.042304000000000036,0.517696
0.08,0.96,0.52,100,0.6,0.042604000000000045,0.557396
0.08,0.96,0.52,100,0.64,0.04252400000000004,0.597476
0.08,0.96,0.52,100,0.68,0.042700000000000043,0.6373000000000001
0.08,0.96,0.52,100,0.72,0.04269600000000004,0.6773039999999999
0.08,0.96,0.52,100,0.76,0.04286000000000004,0.71714
0.08,0.96,0.52,100,0.8,0.04286400000000004,0.757136
0.08,0.96,0.52,100,0.84,0.04309200000000004,0.796908
0.08,0.96,0.52,100,0.88,0.042748000000000036,0.837252
0.08,0.96,0.52,100,0.92,0.04320800000000004,0.8767919999999999
0.08,0.96,0.52,100,0.96,0.04324400000000004,0.9167559999999999
0.08,0.96,0.52,100,1.0,0.04310400000000004,0.956896
0.08,0.96,0.52,200,0.0,0.04158800000000003,0.04158800000000003
0.08,0.96,0.52,200,0.04,0.04170800000000002,0.0017080000000000261
0.08,0.96,0.52,200,0.08,0.041760000000000026,0.038239999999999975
0.08,0.96,0.52,200,0.12,0.041788000000000027,0.07821199999999996
0.08,0.96,0.52,200,0.16,0.04184000000000003,0.11815999999999997
0.08,0.96,0.52,200,0.2,0.041940000000000026,0.15805999999999998
0.08,0.96,0.52,200,0.24,0.04189200000000003,0.19810799999999998
0.08,0.96,0.52,200,0.28,0.04189200000000003,0.23810800000000001
0.08,0.96,0.52,200,0.32,0.04212800000000003,0.277872
0.08,0.96,0.52,200,0.36,0.042052000000000034,0.31794799999999995
0.08,0.96,0.52,200,0.4,0.04224800000000003,0.35775199999999996
0.08,0.96,0.52,200,0.44,0.04238400000000003,0.39761599999999997
0.08,0.96,0.52,200,0.48,0.04241600000000003,0.437584
0.08,0.96,0.52,200,0.52,0.04252000000000002,0.47747999999999996
0.08,0.96,0.52,200,0.56,0.042500000000000024,0.5175
0.08,0.96,0.52,200,0.6,0.04270000000000003,0.5573
0.08,0.96,0.52,200,0.64,0.04276000000000003,0.59724
0.08,0.96,0.52,200,0.68,0.04264000000000003,0.63736
0.08,0.96,0.52,200,0.72,0.04284400000000002,0.677156
0.08,0.96,0.52,200,0.76,0.042660000000000024,0.71734
0.08,0.96,0.52,200,0.8,0.042980000000000025,0.75702
0.08,0.96,0.52,200,0.84,0.04285600000000003,0.797144
0.08,0.96,0.52,200,0.88,0.04295200000000003,0.8370479999999999
0.08,0.96,0.52,200,0.92,0.042988000000000026,0.877012
0.08,0.96,0.52,200,0.96,0.04304800000000003,0.916952
0.08,0.96,0.52,200,1.0,0.04318800000000003,0.956812
0.08,0.96,0.52,500,0.0,0.041496000000000026,0.041496000000000026
