,tpr,tnr,rate,test_set,val_set,Tree,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc
10,"{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1925.675914281174, 1: 1574.710732026144}","{0: 635.0, 1: 1089.08}","{0: 0.7638287439558693, 1: 0.7642217411764706}","{0: 0.8707333333333334, 1: 0.8707333333333334}","{0: 0.344, 1: 0.344}","{0: 0.0, 1: 0.0}","{0: 0.22929180571004823, 1: 0.20613333333333336}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
11,"{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 1247.08}","{0: 635.0, 1: 635.0}","{0: 0.9, 1: 0.888}","{0: 0.8702000000000001, 1: 0.8702000000000001}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
12,"{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4180.189578783683, 1: 2435.0570953162724}","{0: 656.86, 1: 956.5}","{0: 0.35129193434882294, 1: 0.20957881264299802}","{0: 0.8104666666666667, 1: 0.8104666666666667}","{0: 0.227, 1: 0.227}","{0: 0.331, 1: 0.331}","{0: 0.9239414163885799, 1: 0.86429}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
13,"{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4427.04081632653, 1: 1955.0}","{0: 667.79, 1: 667.79}","{0: 0.30612244897959184, 1: 0.0}","{0: 0.8118666666666666, 1: 0.8118666666666666}","{0: 0.0, 1: 0.0}","{0: 0.305, 1: 0.305}","{0: 1.0, 1: 0.9326666666666666}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
14,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2719.864685932215, 1: 1991.03721263636}","{0: 662.325, 1: 1402.105}","{0: 0.6185060044039863, 1: 0.6199557971250259}","{0: 0.8053666666666667, 1: 0.8053666666666667}","{0: 0.577, 1: 0.577}","{0: 0.336, 1: 0.336}","{0: 0.47399332591768634, 1: 0.4597866666666667}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
15,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3345.1938775510203, 1: 1909.2816658863946}","{0: 689.65, 1: 1091.51}","{0: 0.5040816326530613, 1: 0.5409463511126364}","{0: 0.8016333333333333, 1: 0.8016333333333333}","{0: 0.321, 1: 0.321}","{0: 0.336, 1: 0.336}","{0: 0.6666666666666667, 1: 0.633}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
16,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3482.416354112279, 1: 1862.9836902666666}","{0: 689.65, 1: 834.295}","{0: 0.4789723048284942, 1: 0.29580341325779036}","{0: 0.8027666666666666, 1: 0.8027666666666666}","{0: 0.122, 1: 0.122}","{0: 0.344, 1: 0.344}","{0: 0.7089469781238413, 1: 0.6710100000000001}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
17,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2263.3469387755104, 1: 1769.1434469498008}","{0: 667.79, 1: 1523.73}","{0: 0.7020408163265307, 1: 0.7035370700430688}","{0: 0.8061666666666666, 1: 0.8061666666666666}","{0: 0.665, 1: 0.665}","{0: 0.345, 1: 0.345}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
18,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2737.9275586252297, 1: 1767.967974843913}","{0: 689.65, 1: 1224.09}","{0: 0.6152008126943769, 1: 0.6260237056098888}","{0: 0.8063, 1: 0.8063}","{0: 0.438, 1: 0.438}","{0: 0.338, 1: 0.338}","{0: 0.4795587690025955, 1: 0.46479000000000004}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
19,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2740.4426421647636, 1: 1650.1581374444445}","{0: 662.325, 1: 933.69}","{0: 0.6147405961272161, 1: 0.4742884706349206}","{0: 0.8131, 1: 0.8131}","{0: 0.218, 1: 0.218}","{0: 0.326, 1: 0.326}","{0: 0.48033370411568416, 1: 0.4654866666666667}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
20,"{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 6100.0}","{0: 667.79, 1: 1955.0}","{0: 0.9, 1: 0.0}","{0: 0.8113, 1: 0.8113}","{0: 1.0, 1: 1.0}","{0: 0.329, 1: 0.329}","{0: 0.0, 1: 0.033666666666666664}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
21,"{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2037.0255218950756, 1: 2259.0059505588424}","{0: 667.79, 1: 1684.4}","{0: 0.743453701391569, 1: 0.6624675206245891}","{0: 0.8008333333333334, 1: 0.8008333333333334}","{0: 0.795, 1: 0.795}","{0: 0.365, 1: 0.365}","{0: 0.2636002966258805, 1: 0.27064333333333324}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
22,"{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2395.5994177203693, 1: 1999.8589485626615}","{0: 662.325, 1: 1375.52}","{0: 0.6778409116705637, 1: 0.6386570662790698}","{0: 0.8035, 1: 0.8035}","{0: 0.561, 1: 0.561}","{0: 0.34, 1: 0.34}","{0: 0.3740823136818687, 1: 0.36996666666666667}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
23,"{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2218.8817058636578, 1: 1388.9893085833332}","{0: 667.79, 1: 1058.72}","{0: 0.7101771809947561, 1: 0.7241683000000001}","{0: 0.8113333333333334, 1: 0.8113333333333334}","{0: 0.321, 1: 0.321}","{0: 0.321, 1: 0.321}","{0: 0.3196329254727475, 1: 0.3210166666666667}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
24,"{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4306.713924882522, 1: 2622.8579635962737}","{0: 706.045, 1: 856.525}","{0: 0.3281401784295476, 1: 0.15137631701242033}","{0: 0.7448666666666667, 1: 0.7448666666666667}","{0: 0.114, 1: 0.114}","{0: 0.657, 1: 0.657}","{0: 0.9629254727474972, 1: 0.9330033333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
25,"{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4427.04081632653, 1: 1955.0}","{0: 706.045, 1: 706.045}","{0: 0.30612244897959184, 1: 0.0}","{0: 0.7406, 1: 0.7406}","{0: 0.0, 1: 0.0}","{0: 0.688, 1: 0.688}","{0: 1.0, 1: 0.9663333333333334}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
26,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2878.4954573108444, 1: 2247.3186533095004}","{0: 700.58, 1: 1258.57}","{0: 0.5894793307756918, 1: 0.5714780733357979}","{0: 0.7497999999999999, 1: 0.7497999999999999}","{0: 0.431, 1: 0.431}","{0: 0.643, 1: 0.643}","{0: 0.5228698553948832, 1: 0.5373933333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
27,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3345.1938775510203, 1: 2020.3562905689196}","{0: 711.51, 1: 1145.235}","{0: 0.5040816326530613, 1: 0.5176959342133604}","{0: 0.746, 1: 0.746}","{0: 0.341, 1: 0.341}","{0: 0.671, 1: 0.671}","{0: 0.6666666666666667, 1: 0.6666666666666666}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
28,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3599.7347724228734, 1: 1893.9374805333332}","{0: 689.65, 1: 971.205}","{0: 0.45750507366461596, 1: 0.3248442397831979}","{0: 0.7445, 1: 0.7445}","{0: 0.234, 1: 0.234}","{0: 0.676, 1: 0.676}","{0: 0.7450945494994439, 1: 0.7371733333333335}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
29,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2263.3469387755104, 1: 1864.5896981347503}","{0: 667.79, 1: 1543.16}","{0: 0.7020408163265307, 1: 0.6794271443010612}","{0: 0.7479333333333332, 1: 0.7479333333333332}","{0: 0.688, 1: 0.688}","{0: 0.688, 1: 0.688}","{0: 0.3333333333333333, 1: 0.36699999999999994}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
30,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2876.6663056457282, 1: 1929.9061825486995}","{0: 716.975, 1: 1409.26}","{0: 0.589814033733627, 1: 0.5720623035584275}","{0: 0.7499666666666667, 1: 0.7499666666666667}","{0: 0.57, 1: 0.57}","{0: 0.654, 1: 0.654}","{0: 0.5223062662217278, 1: 0.5368866666666666}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
31,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3191.4970021111894, 1: 1761.1574622222222}","{0: 684.185, 1: 1212.395}","{0: 0.5322054890921887, 1: 0.41191184073506887}","{0: 0.7494333333333333, 1: 0.7494333333333333}","{0: 0.425, 1: 0.425}","{0: 0.654, 1: 0.654}","{0: 0.6193103448275862, 1: 0.6240933333333334}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
32,"{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 6100.0}","{0: 673.255, 1: 1955.0}","{0: 0.9, 1: 0.0}","{0: 0.7457, 1: 0.7457}","{0: 1.0, 1: 1.0}","{0: 0.671, 1: 0.671}","{0: 0.0, 1: 0.06733333333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
33,"{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2144.4400466504726, 1: 2356.5275044146824}","{0: 689.65, 1: 1811.12}","{0: 0.7237987105854579, 1: 0.6350520503968256}","{0: 0.7389333333333333, 1: 0.7389333333333333}","{0: 0.891, 1: 0.891}","{0: 0.69, 1: 0.69}","{0: 0.2966963292547274, 1: 0.3340633333333332}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
34,"{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2842.682593130689, 1: 2298.2541481373028}","{0: 711.51, 1: 1647.44}","{0: 0.5960324623731584, 1: 0.5340837693639174}","{0: 0.7520666666666668, 1: 0.7520666666666668}","{0: 0.767, 1: 0.767}","{0: 0.66, 1: 0.66}","{0: 0.5118353726362624, 1: 0.5274733333333332}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
35,"{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3355.4347200971597, 1: 1677.6868569333333}","{0: 673.255, 1: 1522.04}","{0: 0.5022077364872534, 1: 0.5156540266666667}","{0: 0.7442000000000001, 1: 0.7442000000000001}","{0: 0.672, 1: 0.672}","{0: 0.672, 1: 0.672}","{0: 0.6698220244716351, 1: 0.6695033333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
